method,split,seed,episodes,success,shape_error,memory_error,memory_calibration_error,mechanism_macro_f1,tail_risk,damage_rate,force_clip_rate,contact_rate,diagnostic_rate,max_stretch,strain_energy
action_conditioned_memory,hard_regime,0,56,0.42857,0.14273,0.18720,0.07112,0.56250,0.57143,0.44643,0.02232,0.22709,0.83928,2.39413,1.15877
action_conditioned_memory,hard_regime,1,56,0.32143,0.13747,0.20354,0.08297,0.43750,0.67857,0.48214,0.01965,0.27351,0.85714,2.33903,1.14328
action_conditioned_memory,hard_regime,2,56,0.46428,0.13544,0.14301,0.03121,0.53125,0.53571,0.46429,0.01994,0.27410,0.89285,2.32006,1.12417
action_conditioned_memory,hard_regime,3,56,0.42857,0.14086,0.18466,0.06483,0.50000,0.57143,0.41071,0.02173,0.24583,0.87500,2.37985,1.15376
action_conditioned_memory,hard_regime,4,56,0.33929,0.14536,0.17097,0.04852,0.46875,0.66071,0.51786,0.02083,0.28988,0.89285,2.40163,1.16917
action_conditioned_memory,hard_regime,5,56,0.44643,0.13906,0.21990,0.10917,0.46875,0.55357,0.44643,0.02083,0.27887,0.87500,2.29345,1.15269
action_conditioned_memory,hard_regime,6,56,0.41071,0.13716,0.19415,0.08818,0.53125,0.58929,0.50000,0.01964,0.26875,0.83928,2.32271,1.12893
action_conditioned_memory,hard_regime,7,56,0.41071,0.14157,0.19008,0.07786,0.50000,0.58929,0.48214,0.02173,0.24167,0.83929,2.39601,1.17500
action_conditioned_memory_v5,hard_regime,0,56,0.39286,0.14632,0.20182,0.04949,0.50000,0.60714,0.21429,0.01845,0.08541,0.00000,2.24200,1.04453
action_conditioned_memory_v5,hard_regime,1,56,0.44643,0.14466,0.20829,0.05737,0.54167,0.55357,0.23214,0.02173,0.05685,0.00000,2.25362,1.13301
action_conditioned_memory_v5,hard_regime,2,56,0.51786,0.14109,0.14905,0.00938,0.56250,0.48214,0.19643,0.01786,0.08303,0.00000,2.15947,1.09164
action_conditioned_memory_v5,hard_regime,3,56,0.42857,0.14489,0.19606,0.04642,0.50000,0.57143,0.23214,0.02054,0.09553,0.00000,2.24628,1.10454
