method,split,seeds,mean_success,ci95_success,mean_shape_error,ci95_shape_error,mean_memory_error,ci95_memory_error,mean_memory_calibration_error,ci95_memory_calibration_error,mean_mechanism_macro_f1,ci95_mechanism_macro_f1,mean_tail_risk,ci95_tail_risk,mean_damage_rate,ci95_damage_rate,mean_force_clip_rate,ci95_force_clip_rate,mean_contact_rate,ci95_contact_rate,mean_diagnostic_rate,ci95_diagnostic_rate,mean_max_stretch,ci95_max_stretch,mean_strain_energy,ci95_strain_energy
ensemble_uncertainty_planner,occluded_contact_memory,8,0.38393,0.06447,0.14212,0.00264,0.20026,0.02464,0.11731,0.02455,0.43750,0.04630,0.61607,0.06447,0.49107,0.04131,0.01221,0.00085,0.27173,0.02802,0.81250,0.05879,2.40865,0.04372,1.15396,0.03060
graph_dynamics_baseline,combined_memory_stress,8,0.53571,0.09165,0.14267,0.00236,0.52476,0.03193,0.21995,0.02576,0.42708,0.04297,0.46429,0.09165,0.25893,0.06447,0.02872,0.00273,0.16071,0.03321,0.00000,0.00000,2.19001,0.04729,1.03152,0.04643
graph_dynamics_baseline,hidden_strain_memory,8,0.47321,0.03683,0.14289,0.00167,0.38181,0.02857,0.09914,0.02505,0.57812,0.04483,0.52679,0.03683,0.20536,0.06169,0.00997,0.00076,0.04732,0.02803,0.00000,0.00000,2.28449,0.05915,1.09892,0.02864
graph_dynamics_baseline,material_shift,8,0.41964,0.07685,0.14133,0.00299,0.27109,0.03031,0.02874,0.01820,0.59375,0.04010,0.58036,0.07685,0.20536,0.06169,0.02470,0.00106,0.03824,0.02473,0.00000,0.00000,2.25432,0.03539,1.13524,0.01756
graph_dynamics_baseline,nominal_visible_state,8,0.38393,0.06969,0.14115,0.00274,0.10863,0.01256,0.14176,0.01151,0.62500,0.00000,0.61607,0.06969,0.21429,0.04582,0.00878,0.00165,0.01920,0.00857,0.00000,0.00000,2.37563,0.05327,1.17452,0.02386
graph_dynamics_baseline,occluded_contact_memory,8,0.41964,0.04131,0.14451,0.00294,0.35654,0.03819,0.08477,0.02777,0.39062,0.03062,0.58036,0.04131,0.30357,0.03500,0.01503,0.00165,0.10625,0.03485,0.00000,0.00000,2.34197,0.03837,1.11711,0.03100
history_rnn_estimator,combined_memory_stress,8,0.43750,0.06170,0.13745,0.00271,0.18679,0.02941,0.11924,0.04041,0.43750,0.04630,0.56250,0.06170,0.48214,0.03500,0.03750,0.00132,0.29345,0.03997,0.92857,0.03742,2.30529,0.03862,1.15845,0.03418
history_rnn_estimator,hidden_strain_memory,8,0.44643,0.06344,0.14182,0.00241,0.17973,0.02444,0.09861,0.02822,0.59375,0.06125,0.55357,0.06344,0.41964,0.04905,0.00819,0.00120,0.23080,0.03257,0.88393,0.05879,2.39926,0.04148,1.15149,0.01572
history_rnn_estimator,material_shift,8,0.38393,0.07910,0.13821,0.00300,0.15021,0.01574,0.10603,0.01959,0.51562,0.03062,0.61607,0.07910,0.43750,0.08128,0.02619,0.00171,0.22321,0.04737,0.77678,0.08128,2.30550,0.04890,1.14595,0.01839
history_rnn_estimator,nominal_visible_state,8,0.34821,0.05573,0.14304,0.00216,0.12571,0.02123,0.11227,0.02364,0.60938,0.03062,0.65179,0.05573,0.25893,0.02561,0.00655,0.00099,0.06324,0.02078,0.25000,0.05916,2.41518,0.03681,1.20232,0.02009
history_rnn_estimator,occluded_contact_memory,8,0.39286,0.04583,0.14236,0.00244,0.19679,0.02360,0.07420,0.02323,0.45312,0.04483,0.60715,0.04583,0.50000,0.05916,0.01221,0.00085,0.27961,0.03644,0.83928,0.06344,2.40156,0.04363,1.15398,0.03074
oracle_latent_state,combined_memory_stress,8,0.82143,0.08366,0.13041,0.00346,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.17857,0.08366,0.06250,0.04131,0.02411,0.00228,0.10476,0.03898,0.01786,0.02291,2.10237,0.05411,0.99719,0.03378
oracle_latent_state,hidden_strain_memory,8,0.89285,0.04583,0.12754,0.00241,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.10714,0.04583,0.02679,0.02562,0.00283,0.00116,0.04152,0.02270,0.00000,0.00000,2.13662,0.03457,0.92339,0.01574
oracle_latent_state,material_shift,8,0.91964,0.04131,0.12387,0.00213,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.08036,0.04131,0.00000,0.00000,0.01205,0.00112,0.03646,0.01153,0.01786,0.02291,2.11151,0.03672,0.94427,0.03141
oracle_latent_state,nominal_visible_state,8,0.70536,0.06169,0.12401,0.00214,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.29464,0.06169,0.00000,0.00000,0.00134,0.00093,0.03378,0.01042,0.00000,0.00000,2.14176,0.04386,0.89191,0.04516
oracle_latent_state,occluded_contact_memory,8,0.83036,0.06969,0.12824,0.00315,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.16964,0.06969,0.01786,0.02291,0.00670,0.00182,0.07545,0.02975,0.00000,0.00000,2.15428,0.03787,0.95796,0.04109
particle_filter_memory,combined_memory_stress,8,0.43750,0.05573,0.13644,0.00289,0.18679,0.02941,0.21142,0.05987,0.50000,0.00000,0.56250,0.05573,0.50000,0.04583,0.03690,0.00108,0.31057,0.04760,0.96429,0.02646,2.30777,0.03197,1.14459,0.02659
particle_filter_memory,hidden_strain_memory,8,0.40178,0.06447,0.14152,0.00249,0.17973,0.02444,0.14825,0.03628,0.60938,0.03062,0.59822,0.06447,0.46429,0.04583,0.00819,0.00120,0.25953,0.04673,0.90178,0.05250,2.39380,0.04214,1.15127,0.01670
particle_filter_memory,material_shift,8,0.34821,0.08548,0.13837,0.00338,0.15021,0.01574,0.12305,0.02554,0.57812,0.04483,0.65179,0.08548,0.50893,0.09699,0.02500,0.00146,0.28065,0.06213,0.95536,0.04535,2.29476,0.03692,1.13050,0.02120
particle_filter_memory,nominal_visible_state,8,0.34821,0.04905,0.14436,0.00164,0.12571,0.02123,0.10323,0.02724,0.54688,0.04483,0.65179,0.04905,0.29464,0.03172,0.00312,0.00116,0.12723,0.03576,0.54464,0.09141,2.42859,0.03964,1.20050,0.01763
particle_filter_memory,occluded_contact_memory,8,0.35714,0.07483,0.14235,0.00300,0.19679,0.02360,0.11353,0.02569,0.46875,0.04010,0.64286,0.07483,0.54464,0.06447,0.01132,0.00088,0.31250,0.03664,0.92857,0.02646,2.40549,0.04310,1.14759,0.02710
robust_cem_surrogate,combined_memory_stress,8,0.48214,0.05766,0.13947,0.00255,0.25546,0.03112,0.07888,0.03687,0.40625,0.04010,0.51786,0.05766,0.41964,0.04131,0.03794,0.00179,0.26012,0.03928,0.78571,0.07000,2.30023,0.03409,1.16705,0.03450
robust_cem_surrogate,hidden_strain_memory,8,0.41071,0.07365,0.14544,0.00247,0.20976,0.02740,0.05978,0.02970,0.59375,0.04010,0.58929,0.07365,0.33036,0.05250,0.00997,0.00108,0.13229,0.03796,0.46429,0.10583,2.34065,0.04835,1.16818,0.01753
robust_cem_surrogate,material_shift,8,0.36607,0.07215,0.14318,0.00309,0.16473,0.01615,0.03368,0.01609,0.51562,0.03062,0.63393,0.07215,0.30357,0.05766,0.02679,0.00182,0.10075,0.04240,0.34821,0.07215,2.27411,0.05258,1.16314,0.01757
robust_cem_surrogate,nominal_visible_state,8,0.35714,0.07483,0.14276,0.00244,0.09903,0.01927,0.02877,0.01085,0.62500,0.00000,0.64286,0.07483,0.25000,0.02645,0.00878,0.00108,0.02887,0.00952,0.04464,0.02562,2.40110,0.03403,1.19742,0.01727
robust_cem_surrogate,occluded_contact_memory,8,0.41964,0.04905,0.14586,0.00234,0.21136,0.02588,0.06439,0.02653,0.40625,0.04010,0.58036,0.04905,0.33928,0.05123,0.01489,0.00088,0.14702,0.03394,0.38393,0.08340,2.38254,0.05134,1.18573,0.02540
safety_constrained_particle_filter,combined_memory_stress,8,0.51786,0.06344,0.14107,0.00245,0.25565,0.03125,0.06645,0.04107,0.39062,0.03062,0.48214,0.06344,0.33036,0.06447,0.03601,0.00191,0.21175,0.05527,0.44643,0.06874,2.26213,0.04460,1.12947,0.03574
safety_constrained_particle_filter,hidden_strain_memory,8,0.41964,0.04905,0.14489,0.00243,0.20926,0.02684,0.04610,0.02585,0.56771,0.05104,0.58036,0.04905,0.23215,0.04387,0.01102,0.00085,0.04940,0.02405,0.00893,0.01750,2.29338,0.04727,1.13737,0.02227
safety_constrained_particle_filter,material_shift,8,0.37500,0.06874,0.14361,0.00282,0.16464,0.01602,0.04079,0.01810,0.56250,0.04630,0.62500,0.06874,0.24107,0.05879,0.02797,0.00229,0.04301,0.02693,0.05357,0.04388,2.26335,0.03870,1.18128,0.02095
safety_constrained_particle_filter,nominal_visible_state,8,0.36607,0.06713,0.14254,0.00236,0.09850,0.01847,0.07352,0.02353,0.62500,0.00000,0.63393,0.06713,0.25000,0.02645,0.00938,0.00136,0.01637,0.00399,0.00000,0.00000,2.40121,0.03388,1.19727,0.01559
safety_constrained_particle_filter,occluded_contact_memory,8,0.44643,0.03500,0.14468,0.00272,0.21119,0.02574,0.04018,0.01192,0.40625,0.04010,0.55357,0.03500,0.29464,0.03172,0.01622,0.00146,0.09821,0.02359,0.07143,0.05292,2.37568,0.03882,1.16914,0.02646
visible_state_mpc,combined_memory_stress,8,0.58929,0.05766,0.14648,0.00233,0.57811,0.01769,0.20598,0.01771,0.40625,0.04010,0.41071,0.05766,0.20536,0.04130,0.03869,0.00088,0.09702,0.03363,0.00000,0.00000,2.28269,0.04361,1.16606,0.02439
visible_state_mpc,hidden_strain_memory,8,0.53571,0.05916,0.14143,0.00251,0.48002,0.00934,0.11849,0.00916,0.57812,0.04483,0.46429,0.05916,0.24107,0.03682,0.01221,0.00123,0.03794,0.01948,0.00000,0.00000,2.39926,0.03068,1.19934,0.01645
visible_state_mpc,material_shift,8,0.49107,0.04905,0.13923,0.00232,0.29457,0.00353,0.06678,0.00522,0.62500,0.00000,0.50893,0.04905,0.21429,0.03741,0.02887,0.00232,0.02068,0.01065,0.00000,0.00000,2.33417,0.03984,1.21209,0.02073
visible_state_mpc,nominal_visible_state,8,0.39286,0.07000,0.14138,0.00230,0.12362,0.00332,0.23149,0.00508,0.62500,0.00000,0.60715,0.07000,0.25000,0.02645,0.00938,0.00136,0.01637,0.00399,0.00000,0.00000,2.41646,0.03228,1.20220,0.01475
visible_state_mpc,occluded_contact_memory,8,0.53571,0.04583,0.14294,0.00284,0.39307,0.00901,0.02653,0.01083,0.45312,0.04483,0.46429,0.04583,0.25000,0.02645,0.01756,0.00138,0.05610,0.02627,0.00000,0.00000,2.42469,0.02536,1.22167,0.01902
