method,split,seeds,mean_success,ci95_success,mean_shape_error,ci95_shape_error,mean_memory_error,ci95_memory_error,mean_memory_calibration_error,ci95_memory_calibration_error,mean_mechanism_macro_f1,ci95_mechanism_macro_f1,mean_tail_risk,ci95_tail_risk,mean_damage_rate,ci95_damage_rate,mean_force_clip_rate,ci95_force_clip_rate,mean_contact_rate,ci95_contact_rate,mean_diagnostic_rate,ci95_diagnostic_rate,mean_max_stretch,ci95_max_stretch,mean_strain_energy,ci95_strain_energy
action_conditioned_memory,combined_memory_stress,8,0.44643,0.06344,0.13714,0.00248,0.20588,0.03175,0.08270,0.02826,0.45312,0.04483,0.55357,0.06344,0.48214,0.05124,0.03705,0.00093,0.29866,0.03911,0.95536,0.02562,2.30698,0.03832,1.15146,0.03217
action_conditioned_memory,hidden_strain_memory,8,0.42857,0.06481,0.14162,0.00240,0.18904,0.02780,0.07726,0.03022,0.60938,0.05551,0.57143,0.06481,0.43750,0.04905,0.00834,0.00125,0.23810,0.03760,0.89285,0.04583,2.40125,0.04108,1.15486,0.01589
action_conditioned_memory,material_shift,8,0.36607,0.07215,0.13856,0.00333,0.15291,0.01518,0.04582,0.01668,0.51562,0.03062,0.63393,0.07215,0.47321,0.08341,0.02545,0.00170,0.25045,0.04774,0.81250,0.05250,2.30264,0.03852,1.13920,0.01930
action_conditioned_memory,nominal_visible_state,8,0.36607,0.07685,0.14255,0.00249,0.11055,0.02228,0.02626,0.01249,0.60938,0.03062,0.63393,0.07685,0.25893,0.02561,0.00714,0.00117,0.06056,0.02217,0.21429,0.06481,2.41477,0.03589,1.20211,0.01783
action_conditioned_memory,occluded_contact_memory,8,0.38393,0.06447,0.14250,0.00281,0.19892,0.02215,0.08115,0.02374,0.42188,0.04483,0.61607,0.06447,0.48214,0.04388,0.01251,0.00076,0.26265,0.01612,0.79464,0.05573,2.41256,0.04192,1.15736,0.03222
action_conditioned_memory_v5,combined_memory_stress,8,0.56250,0.06170,0.14138,0.00343,0.22899,0.03133,0.06526,0.02913,0.43750,0.06548,0.43750,0.06170,0.25000,0.07483,0.03184,0.00175,0.16563,0.03833,0.00000,0.00000,2.21210,0.06488,1.07754,0.03649
action_conditioned_memory_v5,hidden_strain_memory,8,0.39286,0.05292,0.14472,0.00230,0.19804,0.02778,0.05185,0.03047,0.55208,0.05060,0.60714,0.05292,0.24107,0.05250,0.00953,0.00098,0.06979,0.03391,0.00000,0.00000,2.24642,0.05281,1.08069,0.04264
action_conditioned_memory_v5,material_shift,8,0.36607,0.07215,0.14266,0.00231,0.15673,0.01559,0.02798,0.01643,0.57812,0.04483,0.63393,0.07215,0.21429,0.07000,0.02411,0.00240,0.05164,0.03943,0.00000,0.00000,2.21982,0.03808,1.12780,0.03445
action_conditioned_memory_v5,nominal_visible_state,8,0.36607,0.06713,0.14195,0.00225,0.10359,0.02118,0.02929,0.00991,0.62500,0.00000,0.63393,0.06713,0.23214,0.03500,0.00893,0.00159,0.01920,0.00857,0.00000,0.00000,2.37921,0.03872,1.17075,0.03050
action_conditioned_memory_v5,occluded_contact_memory,8,0.41964,0.06170,0.14561,0.00222,0.20276,0.02336,0.05872,0.02378,0.43750,0.04630,0.58036,0.06170,0.29464,0.04130,0.01474,0.00182,0.10536,0.03701,0.00000,0.00000,2.32237,0.02005,1.10721,0.04971
damage_aware_visible_mpc,combined_memory_stress,8,0.58929,0.05766,0.14648,0.00233,0.57811,0.01769,0.20598,0.01771,0.40625,0.04010,0.41071,0.05766,0.20536,0.04130,0.03869,0.00088,0.09702,0.03363,0.00000,0.00000,2.28269,0.04361,1.16606,0.02439
damage_aware_visible_mpc,hidden_strain_memory,8,0.53571,0.05916,0.14143,0.00251,0.48002,0.00934,0.11849,0.00916,0.57812,0.04483,0.46429,0.05916,0.24107,0.03682,0.01221,0.00123,0.03794,0.01948,0.00000,0.00000,2.39926,0.03068,1.19934,0.01645
damage_aware_visible_mpc,material_shift,8,0.49107,0.04905,0.13923,0.00232,0.29457,0.00353,0.06678,0.00522,0.62500,0.00000,0.50893,0.04905,0.21429,0.03741,0.02887,0.00232,0.02068,0.01065,0.00000,0.00000,2.33417,0.03984,1.21209,0.02073
damage_aware_visible_mpc,nominal_visible_state,8,0.39286,0.07000,0.14138,0.00230,0.12362,0.00332,0.23149,0.00508,0.62500,0.00000,0.60715,0.07000,0.25000,0.02645,0.00938,0.00136,0.01637,0.00399,0.00000,0.00000,2.41646,0.03228,1.20220,0.01475
damage_aware_visible_mpc,occluded_contact_memory,8,0.53571,0.04583,0.14294,0.00284,0.39307,0.00901,0.02653,0.01083,0.45312,0.04483,0.46429,0.04583,0.25000,0.02645,0.01756,0.00138,0.05610,0.02627,0.00000,0.00000,2.42469,0.02536,1.22167,0.01902
ensemble_uncertainty_planner,combined_memory_stress,8,0.42857,0.05916,0.13671,0.00286,0.18699,0.03034,0.10223,0.02855,0.46875,0.04010,0.57143,0.05916,0.50000,0.03742,0.03690,0.00108,0.30149,0.03522,0.97321,0.02562,2.30886,0.03201,1.15490,0.03260
ensemble_uncertainty_planner,hidden_strain_memory,8,0.42857,0.06481,0.14181,0.00238,0.18310,0.02423,0.10178,0.02449,0.57812,0.04483,0.57143,0.06481,0.43750,0.04131,0.00819,0.00120,0.24420,0.03143,0.91071,0.05766,2.39362,0.04473,1.14937,0.01609
ensemble_uncertainty_planner,material_shift,8,0.36607,0.07215,0.13818,0.00282,0.15200,0.01604,0.07103,0.01585,0.51562,0.03062,0.63393,0.07215,0.46429,0.08775,0.02589,0.00169,0.23541,0.03908,0.77678,0.04131,2.30256,0.04730,1.14281,0.01360
ensemble_uncertainty_planner,nominal_visible_state,8,0.34821,0.05573,0.14325,0.00213,0.12773,0.02369,0.04765,0.02369,0.59375,0.04010,0.65179,0.05573,0.26786,0.02291,0.00580,0.00120,0.08273,0.03101,0.33928,0.06344,2.42010,0.03611,1.19928,0.02138
