seed,scenario,scenario_id,split,object_type,method,chosen_action,true_memory,estimated_memory,uncertainty,visible_fraction,success,shape_error,memory_error,damage,max_stretch,contact_rate,force_clip_rate,strain_energy,final_progress,diagnostic_count,actual_failures,predicted_failures,actual_failure_bits,predicted_failure_bits,trajectory,stress_level
0,9000,combined_memory_stress_0_9000_rope,combined_memory_stress,rope,visible_state_mpc,pull_high,-0.16034,0.00000,0.35892,1.00000,0,0.17115,0.16034,1.00000,3.50892,0.00000,0.01667,0.96543,0.12769,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.247:stretch=1.16:contact=0;12:err=0.199:stretch=3.51:contact=0;24:err=0.170:stretch=3.51:contact=0;36:err=0.166:stretch=3.51:contact=0;48:err=0.169:stretch=3.51:contact=0;59:err=0.171:stretch=3.51:contact=0,0.00
0,9000,combined_memory_stress_0_9000_rope,combined_memory_stress,rope,damage_aware_visible_mpc,pull_high,-0.16034,0.00000,0.35892,1.00000,0,0.17115,0.16034,1.00000,3.50892,0.00000,0.01667,0.96543,0.12769,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.247:stretch=1.16:contact=0;12:err=0.199:stretch=3.51:contact=0;24:err=0.170:stretch=3.51:contact=0;36:err=0.166:stretch=3.51:contact=0;48:err=0.169:stretch=3.51:contact=0;59:err=0.171:stretch=3.51:contact=0,0.00
0,9000,combined_memory_stress_0_9000_rope,combined_memory_stress,rope,particle_filter_memory,diagnostic_branch_pull,-0.16034,0.12894,0.28578,1.00000,0,0.18241,0.28927,1.00000,3.63245,0.00000,0.00000,1.05681,0.12717,1,excessive_stretch;wrong_memory_branch;shape_failure,,10001010,00000000,0:err=0.252:stretch=1.16:contact=0;12:err=0.254:stretch=1.39:contact=0;24:err=0.212:stretch=3.63:contact=0;36:err=0.183:stretch=3.63:contact=0;48:err=0.181:stretch=3.63:contact=0;59:err=0.182:stretch=3.63:contact=0,0.00
0,9000,combined_memory_stress_0_9000_rope,combined_memory_stress,rope,safety_constrained_particle_filter,pull_high,-0.16034,0.05242,0.21262,1.00000,0,0.17115,0.21276,1.00000,3.50892,0.00000,0.01667,0.96543,0.12769,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.247:stretch=1.16:contact=0;12:err=0.199:stretch=3.51:contact=0;24:err=0.170:stretch=3.51:contact=0;36:err=0.166:stretch=3.51:contact=0;48:err=0.169:stretch=3.51:contact=0;59:err=0.171:stretch=3.51:contact=0,0.00
0,9000,combined_memory_stress_0_9000_rope,combined_memory_stress,rope,ensemble_uncertainty_planner,diagnostic_branch_pull,-0.16034,0.18228,0.08000,1.00000,0,0.18241,0.34261,1.00000,3.63245,0.00000,0.00000,1.05681,0.12717,1,excessive_stretch;wrong_memory_branch;shape_failure,,10001010,00000000,0:err=0.252:stretch=1.16:contact=0;12:err=0.254:stretch=1.39:contact=0;24:err=0.212:stretch=3.63:contact=0;36:err=0.183:stretch=3.63:contact=0;48:err=0.181:stretch=3.63:contact=0;59:err=0.182:stretch=3.63:contact=0,0.00
0,9000,combined_memory_stress_0_9000_rope,combined_memory_stress,rope,action_conditioned_memory,diagnostic_branch_pull,-0.16034,0.12866,0.13223,1.00000,0,0.18241,0.28899,1.00000,3.63245,0.00000,0.00000,1.05681,0.12717,1,excessive_stretch;wrong_memory_branch;shape_failure,,10001010,00000000,0:err=0.252:stretch=1.16:contact=0;12:err=0.254:stretch=1.39:contact=0;24:err=0.212:stretch=3.63:contact=0;36:err=0.183:stretch=3.63:contact=0;48:err=0.181:stretch=3.63:contact=0;59:err=0.182:stretch=3.63:contact=0,0.00
0,9000,combined_memory_stress_0_9000_rope,combined_memory_stress,rope,action_conditioned_memory_v5,pull_high,-0.16034,0.10025,0.14563,1.00000,0,0.17115,0.26059,1.00000,3.50892,0.00000,0.01667,0.96543,0.12769,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.247:stretch=1.16:contact=0;12:err=0.199:stretch=3.51:contact=0;24:err=0.170:stretch=3.51:contact=0;36:err=0.166:stretch=3.51:contact=0;48:err=0.169:stretch=3.51:contact=0;59:err=0.171:stretch=3.51:contact=0,0.00
0,9000,combined_memory_stress_0_9000_rope,combined_memory_stress,rope,oracle_latent_state,center_pull,-0.16034,-0.16034,0.00000,1.00000,1,0.14645,0.00000,0.00000,3.17938,0.00000,0.00000,0.74861,0.12386,0,,,00000000,00000000,0:err=0.247:stretch=1.16:contact=0;12:err=0.166:stretch=3.18:contact=0;24:err=0.144:stretch=3.18:contact=0;36:err=0.142:stretch=3.18:contact=0;48:err=0.144:stretch=3.18:contact=0;59:err=0.146:stretch=3.18:contact=0,0.00
0,9001,combined_memory_stress_0_9001_cloth_strip,combined_memory_stress,cloth_strip,visible_state_mpc,pull_low,0.14142,0.00000,0.37978,1.00000,0,0.16106,0.14142,0.00000,2.01208,0.00000,0.01667,1.33799,0.14608,0,shape_failure,,00000010,00000000,0:err=0.249:stretch=1.12:contact=0;12:err=0.185:stretch=2.01:contact=0;24:err=0.150:stretch=2.01:contact=0;36:err=0.149:stretch=2.01:contact=0;48:err=0.158:stretch=2.01:contact=0;59:err=0.161:stretch=2.01:contact=0,0.00
0,9001,combined_memory_stress_0_9001_cloth_strip,combined_memory_stress,cloth_strip,damage_aware_visible_mpc,pull_low,0.14142,0.00000,0.37978,1.00000,0,0.16106,0.14142,0.00000,2.01208,0.00000,0.01667,1.33799,0.14608,0,shape_failure,,00000010,00000000,0:err=0.249:stretch=1.12:contact=0;12:err=0.185:stretch=2.01:contact=0;24:err=0.150:stretch=2.01:contact=0;36:err=0.149:stretch=2.01:contact=0;48:err=0.158:stretch=2.01:contact=0;59:err=0.161:stretch=2.01:contact=0,0.00
0,9001,combined_memory_stress_0_9001_cloth_strip,combined_memory_stress,cloth_strip,particle_filter_memory,diagnostic_branch_pull,0.14142,-0.07394,0.24434,1.00000,0,0.16181,0.21536,0.00000,2.01022,0.33333,0.00000,1.43813,0.15011,1,shape_failure,,00000010,00000000,0:err=0.252:stretch=1.12:contact=0;12:err=0.260:stretch=1.24:contact=1;24:err=0.196:stretch=2.01:contact=0;36:err=0.158:stretch=2.01:contact=0;48:err=0.156:stretch=2.01:contact=0;59:err=0.162:stretch=2.01:contact=0,0.00
0,9001,combined_memory_stress_0_9001_cloth_strip,combined_memory_stress,cloth_strip,safety_constrained_particle_filter,pull_low,0.14142,-0.13133,0.17947,1.00000,0,0.16106,0.27275,0.00000,2.01208,0.00000,0.01667,1.33799,0.14608,0,shape_failure,,00000010,00000000,0:err=0.249:stretch=1.12:contact=0;12:err=0.185:stretch=2.01:contact=0;24:err=0.150:stretch=2.01:contact=0;36:err=0.149:stretch=2.01:contact=0;48:err=0.158:stretch=2.01:contact=0;59:err=0.161:stretch=2.01:contact=0,0.00
0,9001,combined_memory_stress_0_9001_cloth_strip,combined_memory_stress,cloth_strip,ensemble_uncertainty_planner,pull_low,0.14142,-0.06787,0.08000,1.00000,0,0.16106,0.20929,0.00000,2.01208,0.00000,0.01667,1.33799,0.14608,0,shape_failure,,00000010,00000000,0:err=0.249:stretch=1.12:contact=0;12:err=0.185:stretch=2.01:contact=0;24:err=0.150:stretch=2.01:contact=0;36:err=0.149:stretch=2.01:contact=0;48:err=0.158:stretch=2.01:contact=0;59:err=0.161:stretch=2.01:contact=0,0.00
0,9001,combined_memory_stress_0_9001_cloth_strip,combined_memory_stress,cloth_strip,action_conditioned_memory,diagnostic_branch_pull,0.14142,-0.07263,0.11907,1.00000,0,0.16181,0.21405,0.00000,2.01022,0.33333,0.00000,1.43813,0.15011,1,shape_failure,,00000010,00000000,0:err=0.252:stretch=1.12:contact=0;12:err=0.260:stretch=1.24:contact=1;24:err=0.196:stretch=2.01:contact=0;36:err=0.158:stretch=2.01:contact=0;48:err=0.156:stretch=2.01:contact=0;59:err=0.162:stretch=2.01:contact=0,0.00
0,9001,combined_memory_stress_0_9001_cloth_strip,combined_memory_stress,cloth_strip,action_conditioned_memory_v5,pull_low,0.14142,-0.09428,0.12692,1.00000,0,0.16106,0.23570,0.00000,2.01208,0.00000,0.01667,1.33799,0.14608,0,shape_failure,,00000010,00000000,0:err=0.249:stretch=1.12:contact=0;12:err=0.185:stretch=2.01:contact=0;24:err=0.150:stretch=2.01:contact=0;36:err=0.149:stretch=2.01:contact=0;48:err=0.158:stretch=2.01:contact=0;59:err=0.161:stretch=2.01:contact=0,0.00
0,9001,combined_memory_stress_0_9001_cloth_strip,combined_memory_stress,cloth_strip,oracle_latent_state,center_pull,0.14142,0.14142,0.00000,1.00000,0,0.14037,0.00000,0.00000,1.79616,0.00000,0.00000,0.92413,0.13879,0,shape_failure,shape_failure,00000010,00000010,0:err=0.249:stretch=1.12:contact=0;12:err=0.163:stretch=1.80:contact=0;24:err=0.127:stretch=1.80:contact=0;36:err=0.125:stretch=1.80:contact=0;48:err=0.137:stretch=1.80:contact=0;59:err=0.140:stretch=1.80:contact=0,0.00
0,9002,combined_memory_stress_0_9002_elastic_band,combined_memory_stress,elastic_band,visible_state_mpc,pull_low,0.14925,0.00000,0.35565,1.00000,1,0.10238,0.14925,0.00000,2.29938,0.03333,0.00000,0.82004,0.15376,0,,,00000000,00000000,0:err=0.163:stretch=1.21:contact=0;12:err=0.114:stretch=2.30:contact=0;24:err=0.096:stretch=2.30:contact=0;36:err=0.097:stretch=2.30:contact=0;48:err=0.102:stretch=2.30:contact=0;59:err=0.102:stretch=2.30:contact=0,0.00
0,9002,combined_memory_stress_0_9002_elastic_band,combined_memory_stress,elastic_band,damage_aware_visible_mpc,pull_low,0.14925,0.00000,0.35565,1.00000,1,0.10238,0.14925,0.00000,2.29938,0.03333,0.00000,0.82004,0.15376,0,,,00000000,00000000,0:err=0.163:stretch=1.21:contact=0;12:err=0.114:stretch=2.30:contact=0;24:err=0.096:stretch=2.30:contact=0;36:err=0.097:stretch=2.30:contact=0;48:err=0.102:stretch=2.30:contact=0;59:err=0.102:stretch=2.30:contact=0,0.00
0,9002,combined_memory_stress_0_9002_elastic_band,combined_memory_stress,elastic_band,particle_filter_memory,diagnostic_branch_pull,0.14925,-0.03965,0.18000,1.00000,1,0.10436,0.18890,0.00000,2.35559,0.06667,0.00000,0.81679,0.14846,1,,,00000000,00000000,0:err=0.165:stretch=1.21:contact=0;12:err=0.165:stretch=1.36:contact=0;24:err=0.120:stretch=2.36:contact=1;36:err=0.106:stretch=2.36:contact=0;48:err=0.102:stretch=2.36:contact=0;59:err=0.104:stretch=2.36:contact=0,0.00
