method,split,seeds,mean_success,ci95_success,mean_shape_error,ci95_shape_error,mean_memory_error,ci95_memory_error,mean_memory_calibration_error,ci95_memory_calibration_error,mean_mechanism_macro_f1,ci95_mechanism_macro_f1,mean_tail_risk,ci95_tail_risk,mean_damage_rate,ci95_damage_rate,mean_force_clip_rate,ci95_force_clip_rate,mean_contact_rate,ci95_contact_rate,mean_diagnostic_rate,ci95_diagnostic_rate,mean_max_stretch,ci95_max_stretch,mean_strain_energy,ci95_strain_energy
action_conditioned_v5_full,combined_memory_stress,8,0.53750,0.07350,0.14142,0.00328,0.26618,0.02803,0.09720,0.03599,0.45312,0.06445,0.46250,0.07350,0.27500,0.10312,0.02792,0.00457,0.20333,0.05018,0.00000,0.00000,2.18664,0.07978,1.04002,0.06589
action_conditioned_v5_no_action_conditioning,combined_memory_stress,8,0.60000,0.08283,0.14645,0.00343,0.52333,0.05105,0.23183,0.04172,0.43750,0.06548,0.40000,0.08283,0.21250,0.09398,0.03604,0.00222,0.13375,0.05287,0.00000,0.00000,2.26634,0.06740,1.14808,0.03358
action_conditioned_v5_no_branch_memory,combined_memory_stress,8,0.52500,0.08882,0.13899,0.00271,0.26618,0.02803,0.04260,0.02407,0.53906,0.06921,0.47500,0.08882,0.28750,0.07803,0.02229,0.00395,0.22792,0.03591,0.00000,0.00000,2.12802,0.06064,0.95884,0.05491
action_conditioned_v5_no_damage_penalty,combined_memory_stress,8,0.53750,0.07350,0.14142,0.00328,0.26618,0.02803,0.09720,0.03599,0.45312,0.06445,0.46250,0.07350,0.27500,0.10312,0.02792,0.00457,0.20333,0.05018,0.00000,0.00000,2.18664,0.07978,1.04002,0.06589
action_conditioned_v5_no_diagnostic_gate,combined_memory_stress,8,0.50000,0.05238,0.14216,0.00304,0.26618,0.02803,0.09720,0.03599,0.45312,0.06445,0.50000,0.05238,0.28750,0.09398,0.02854,0.00434,0.21667,0.04737,0.13750,0.06348,2.22024,0.09121,1.06855,0.06559
action_conditioned_v5_no_material_memory,combined_memory_stress,8,0.57500,0.10957,0.14091,0.00365,0.23748,0.01691,0.03100,0.02136,0.46875,0.07678,0.42500,0.10957,0.26250,0.11074,0.02979,0.00430,0.18521,0.05397,0.00000,0.00000,2.21214,0.05716,1.06787,0.05984
action_conditioned_v5_no_safety_gate,combined_memory_stress,8,0.53750,0.07350,0.14168,0.00306,0.26618,0.02803,0.09720,0.03599,0.45312,0.06445,0.46250,0.07350,0.27500,0.10312,0.02812,0.00468,0.20292,0.05054,0.00000,0.00000,2.19607,0.07409,1.04664,0.07000
action_conditioned_v5_no_uncertainty_term,combined_memory_stress,8,0.52500,0.08882,0.13899,0.00271,0.26618,0.02803,0.26618,0.02803,0.53906,0.06921,0.47500,0.08882,0.28750,0.07803,0.02229,0.00395,0.22792,0.03591,0.00000,0.00000,2.12802,0.06064,0.95884,0.05491
