seed,scenario,scenario_id,split,object_type,method,chosen_action,true_memory,estimated_memory,uncertainty,visible_fraction,success,shape_error,memory_error,damage,max_stretch,contact_rate,force_clip_rate,strain_energy,final_progress,diagnostic_count,actual_failures,predicted_failures,actual_failure_bits,predicted_failure_bits,trajectory
0,7000,combined_memory_stress_0_7000_rope,combined_memory_stress,rope,action_conditioned_full,diagnostic_branch_pull,-0.64934,-0.45965,0.18078,0.60000,0,0.16251,0.18968,1.00000,3.33509,0.00000,0.05172,1.05185,0.13737,1,excessive_stretch,,10000000,00000000,0:err=0.256:stretch=1.56:contact=0;11:err=0.258:stretch=1.66:contact=0;22:err=0.216:stretch=3.34:contact=0;33:err=0.176:stretch=3.34:contact=0;44:err=0.161:stretch=3.34:contact=0;55:err=0.162:stretch=3.34:contact=0;57:err=0.163:stretch=3.34:contact=0
0,7000,combined_memory_stress_0_7000_rope,combined_memory_stress,rope,action_conditioned_no_action_conditioning,diagnostic_branch_pull,-0.64934,-0.24750,0.30078,0.60000,0,0.16251,0.40183,1.00000,3.33509,0.00000,0.05172,1.05185,0.13737,1,excessive_stretch,,10000000,00000000,0:err=0.256:stretch=1.56:contact=0;11:err=0.258:stretch=1.66:contact=0;22:err=0.216:stretch=3.34:contact=0;33:err=0.176:stretch=3.34:contact=0;44:err=0.161:stretch=3.34:contact=0;55:err=0.162:stretch=3.34:contact=0;57:err=0.163:stretch=3.34:contact=0
0,7000,combined_memory_stress_0_7000_rope,combined_memory_stress,rope,action_conditioned_no_branch_memory,diagnostic_branch_pull,-0.64934,-0.45965,0.28078,0.60000,0,0.16251,0.18968,1.00000,3.33509,0.00000,0.05172,1.05185,0.13737,1,excessive_stretch,,10000000,00000000,0:err=0.256:stretch=1.56:contact=0;11:err=0.258:stretch=1.66:contact=0;22:err=0.216:stretch=3.34:contact=0;33:err=0.176:stretch=3.34:contact=0;44:err=0.161:stretch=3.34:contact=0;55:err=0.162:stretch=3.34:contact=0;57:err=0.163:stretch=3.34:contact=0
0,7000,combined_memory_stress_0_7000_rope,combined_memory_stress,rope,action_conditioned_no_diagnostic_probes,fixture_avoid_pull,-0.64934,-0.45965,0.18078,0.60000,1,0.16702,0.18968,0.00000,3.22794,0.00000,0.05172,1.17112,0.13480,0,occlusion_miss,,00000100,00000000,0:err=0.253:stretch=1.56:contact=0;11:err=0.212:stretch=3.23:contact=0;22:err=0.173:stretch=3.23:contact=0;33:err=0.162:stretch=3.23:contact=0;44:err=0.162:stretch=3.23:contact=0;55:err=0.166:stretch=3.23:contact=0;57:err=0.167:stretch=3.23:contact=0
0,7000,combined_memory_stress_0_7000_rope,combined_memory_stress,rope,action_conditioned_no_material_memory,diagnostic_branch_pull,-0.64934,-0.49511,0.26078,0.60000,0,0.16251,0.15423,1.00000,3.33509,0.00000,0.05172,1.05185,0.13737,1,excessive_stretch,,10000000,00000000,0:err=0.256:stretch=1.56:contact=0;11:err=0.258:stretch=1.66:contact=0;22:err=0.216:stretch=3.34:contact=0;33:err=0.176:stretch=3.34:contact=0;44:err=0.161:stretch=3.34:contact=0;55:err=0.162:stretch=3.34:contact=0;57:err=0.163:stretch=3.34:contact=0
0,7000,combined_memory_stress_0_7000_rope,combined_memory_stress,rope,action_conditioned_no_contact_memory,diagnostic_branch_pull,-0.64934,-0.34512,0.26078,0.60000,0,0.16251,0.30422,1.00000,3.33509,0.00000,0.05172,1.05185,0.13737,1,excessive_stretch,,10000000,00000000,0:err=0.256:stretch=1.56:contact=0;11:err=0.258:stretch=1.66:contact=0;22:err=0.216:stretch=3.34:contact=0;33:err=0.176:stretch=3.34:contact=0;44:err=0.161:stretch=3.34:contact=0;55:err=0.162:stretch=3.34:contact=0;57:err=0.163:stretch=3.34:contact=0
0,7000,combined_memory_stress_0_7000_rope,combined_memory_stress,rope,action_conditioned_no_uncertainty_term,diagnostic_branch_pull,-0.64934,-0.45965,0.00000,0.60000,0,0.16251,0.18968,1.00000,3.33509,0.00000,0.05172,1.05185,0.13737,1,excessive_stretch,,10000000,00000000,0:err=0.256:stretch=1.56:contact=0;11:err=0.258:stretch=1.66:contact=0;22:err=0.216:stretch=3.34:contact=0;33:err=0.176:stretch=3.34:contact=0;44:err=0.161:stretch=3.34:contact=0;55:err=0.162:stretch=3.34:contact=0;57:err=0.163:stretch=3.34:contact=0
0,7001,combined_memory_stress_0_7001_cloth_strip,combined_memory_stress,cloth_strip,action_conditioned_full,diagnostic_branch_pull,-0.51325,-0.37258,0.09201,0.75000,0,0.13382,0.14068,1.00000,1.81994,0.70690,0.05172,1.41541,0.16995,1,fixture_snag,,01000000,00000000,0:err=0.252:stretch=1.42:contact=0;11:err=0.259:stretch=1.42:contact=1;22:err=0.224:stretch=1.82:contact=1;33:err=0.159:stretch=1.82:contact=0;44:err=0.126:stretch=1.82:contact=1;55:err=0.131:stretch=1.82:contact=1;57:err=0.134:stretch=1.82:contact=1
0,7001,combined_memory_stress_0_7001_cloth_strip,combined_memory_stress,cloth_strip,action_conditioned_no_action_conditioning,diagnostic_branch_pull,-0.51325,-0.32077,0.21201,0.75000,0,0.13382,0.19248,1.00000,1.81994,0.70690,0.05172,1.41541,0.16995,1,fixture_snag,,01000000,00000000,0:err=0.252:stretch=1.42:contact=0;11:err=0.259:stretch=1.42:contact=1;22:err=0.224:stretch=1.82:contact=1;33:err=0.159:stretch=1.82:contact=0;44:err=0.126:stretch=1.82:contact=1;55:err=0.131:stretch=1.82:contact=1;57:err=0.134:stretch=1.82:contact=1
0,7001,combined_memory_stress_0_7001_cloth_strip,combined_memory_stress,cloth_strip,action_conditioned_no_branch_memory,diagnostic_branch_pull,-0.51325,-0.37258,0.19201,0.75000,0,0.13382,0.14068,1.00000,1.81994,0.70690,0.05172,1.41541,0.16995,1,fixture_snag,,01000000,00000000,0:err=0.252:stretch=1.42:contact=0;11:err=0.259:stretch=1.42:contact=1;22:err=0.224:stretch=1.82:contact=1;33:err=0.159:stretch=1.82:contact=0;44:err=0.126:stretch=1.82:contact=1;55:err=0.131:stretch=1.82:contact=1;57:err=0.134:stretch=1.82:contact=1
