method,split,risk_budget,seeds,mean_success,ci95_success,mean_shape_error,ci95_shape_error,mean_memory_error,ci95_memory_error,mean_memory_calibration_error,ci95_memory_calibration_error,mean_mechanism_macro_f1,ci95_mechanism_macro_f1,mean_tail_risk,ci95_tail_risk,mean_damage_rate,ci95_damage_rate,mean_force_clip_rate,ci95_force_clip_rate,mean_contact_rate,ci95_contact_rate,mean_diagnostic_rate,ci95_diagnostic_rate,mean_max_stretch,ci95_max_stretch,mean_strain_energy,ci95_strain_energy
action_conditioned_memory,combined_memory_stress,0.10,8,0.54688,0.07936,0.14157,0.00221,0.21653,0.02323,0.09478,0.02142,0.57812,0.07936,0.45312,0.07936,0.23438,0.13449,0.02812,0.00562,0.15885,0.06938,0.07812,0.06445,2.17219,0.06851,1.01847,0.05975
action_conditioned_memory,combined_memory_stress,0.20,8,0.31250,0.12250,0.13703,0.00305,0.21653,0.02323,0.09478,0.02142,0.51562,0.03062,0.68750,0.12250,0.62500,0.13096,0.03542,0.00267,0.37084,0.07841,0.98438,0.03062,2.32556,0.04052,1.14883,0.02519
action_conditioned_memory,combined_memory_stress,0.30,8,0.31250,0.12250,0.13703,0.00305,0.21653,0.02323,0.09478,0.02142,0.51562,0.03062,0.68750,0.12250,0.62500,0.13096,0.03542,0.00267,0.37084,0.07841,0.98438,0.03062,2.32556,0.04052,1.14883,0.02519
action_conditioned_memory,combined_memory_stress,0.40,8,0.31250,0.12250,0.13703,0.00305,0.21653,0.02323,0.09478,0.02142,0.51562,0.03062,0.68750,0.12250,0.62500,0.13096,0.03542,0.00267,0.37084,0.07841,0.98438,0.03062,2.32556,0.04052,1.14883,0.02519
action_conditioned_memory,hidden_strain_memory,0.10,8,0.48438,0.07229,0.14342,0.00231,0.18570,0.02292,0.07550,0.02119,0.65625,0.07678,0.51562,0.07229,0.20312,0.06445,0.00703,0.00108,0.09036,0.04511,0.48438,0.13449,2.28194,0.02950,1.06158,0.04675
action_conditioned_memory,hidden_strain_memory,0.20,8,0.46875,0.11103,0.14082,0.00223,0.18570,0.02292,0.07550,0.02119,0.65625,0.04010,0.53125,0.11103,0.42188,0.12195,0.00938,0.00134,0.20078,0.06971,0.95312,0.04483,2.39092,0.02903,1.14810,0.01004
action_conditioned_memory,hidden_strain_memory,0.30,8,0.46875,0.11103,0.14082,0.00223,0.18570,0.02292,0.07550,0.02119,0.65625,0.04010,0.53125,0.11103,0.42188,0.12195,0.00938,0.00134,0.20078,0.06971,0.95312,0.04483,2.39092,0.02903,1.14810,0.01004
action_conditioned_memory,hidden_strain_memory,0.40,8,0.46875,0.11103,0.14082,0.00223,0.18570,0.02292,0.07550,0.02119,0.65625,0.04010,0.53125,0.11103,0.42188,0.12195,0.00938,0.00134,0.20078,0.06971,0.95312,0.04483,2.39092,0.02903,1.14810,0.01004
action_conditioned_memory,occluded_contact_memory,0.10,8,0.39062,0.12627,0.14385,0.00386,0.16863,0.02311,0.05644,0.01714,0.51562,0.08584,0.60938,0.12627,0.26562,0.09753,0.01302,0.00102,0.09062,0.03855,0.07812,0.06445,2.30848,0.06233,1.09507,0.02918
action_conditioned_memory,occluded_contact_memory,0.20,8,0.34375,0.11103,0.14117,0.00244,0.16863,0.02311,0.05644,0.01714,0.50000,0.04630,0.65625,0.11103,0.51562,0.07229,0.01068,0.00092,0.25651,0.06581,0.92188,0.06445,2.41782,0.04596,1.14195,0.01772
