method,split,risk_budget,seeds,mean_success,ci95_success,mean_shape_error,ci95_shape_error,mean_memory_error,ci95_memory_error,mean_memory_calibration_error,ci95_memory_calibration_error,mean_mechanism_macro_f1,ci95_mechanism_macro_f1,mean_tail_risk,ci95_tail_risk,mean_damage_rate,ci95_damage_rate,mean_force_clip_rate,ci95_force_clip_rate,mean_contact_rate,ci95_contact_rate,mean_diagnostic_rate,ci95_diagnostic_rate,mean_max_stretch,ci95_max_stretch,mean_strain_energy,ci95_strain_energy
action_conditioned_memory,occluded_contact_memory,0.30,8,0.34375,0.11103,0.14117,0.00244,0.16863,0.02311,0.05644,0.01714,0.50000,0.04630,0.65625,0.11103,0.51562,0.07229,0.01068,0.00092,0.25651,0.06581,0.92188,0.06445,2.41782,0.04596,1.14195,0.01772
action_conditioned_memory,occluded_contact_memory,0.40,8,0.34375,0.11103,0.14117,0.00244,0.16863,0.02311,0.05644,0.01714,0.50000,0.04630,0.65625,0.11103,0.51562,0.07229,0.01068,0.00092,0.25651,0.06581,0.92188,0.06445,2.41782,0.04596,1.14195,0.01772
action_conditioned_memory_v5,combined_memory_stress,0.10,8,0.62500,0.09260,0.14144,0.00303,0.24149,0.02298,0.07682,0.02361,0.56250,0.09260,0.37500,0.09260,0.15625,0.08966,0.03203,0.00369,0.10573,0.04314,0.00000,0.00000,2.17233,0.06108,1.06030,0.03600
action_conditioned_memory_v5,combined_memory_stress,0.20,8,0.62500,0.09260,0.14144,0.00303,0.24149,0.02298,0.07682,0.02361,0.56250,0.09260,0.37500,0.09260,0.15625,0.08966,0.03203,0.00369,0.10573,0.04314,0.00000,0.00000,2.17233,0.06108,1.06030,0.03600
action_conditioned_memory_v5,combined_memory_stress,0.30,8,0.62500,0.09260,0.14144,0.00303,0.24149,0.02298,0.07682,0.02361,0.56250,0.09260,0.37500,0.09260,0.15625,0.08966,0.03203,0.00369,0.10573,0.04314,0.00000,0.00000,2.17233,0.06108,1.06030,0.03600
action_conditioned_memory_v5,combined_memory_stress,0.40,8,0.62500,0.09260,0.14144,0.00303,0.24149,0.02298,0.07682,0.02361,0.56250,0.09260,0.37500,0.09260,0.15625,0.08966,0.03203,0.00369,0.10573,0.04314,0.00000,0.00000,2.17233,0.06108,1.06030,0.03600
action_conditioned_memory_v5,hidden_strain_memory,0.10,8,0.48438,0.05551,0.14317,0.00256,0.20011,0.02655,0.05705,0.02605,0.67188,0.06445,0.51562,0.05551,0.17188,0.06445,0.00938,0.00173,0.02891,0.03325,0.00000,0.00000,2.29383,0.02781,1.11269,0.04183
action_conditioned_memory_v5,hidden_strain_memory,0.20,8,0.48438,0.05551,0.14326,0.00258,0.20011,0.02655,0.05705,0.02605,0.67188,0.06445,0.51562,0.05551,0.17188,0.06445,0.00938,0.00173,0.02943,0.03325,0.01562,0.03062,2.29368,0.02780,1.11082,0.04227
action_conditioned_memory_v5,hidden_strain_memory,0.30,8,0.48438,0.05551,0.14326,0.00258,0.20011,0.02655,0.05705,0.02605,0.67188,0.06445,0.51562,0.05551,0.17188,0.06445,0.00938,0.00173,0.02943,0.03325,0.01562,0.03062,2.29368,0.02780,1.11082,0.04227
action_conditioned_memory_v5,hidden_strain_memory,0.40,8,0.48438,0.05551,0.14326,0.00258,0.20011,0.02655,0.05705,0.02605,0.67188,0.06445,0.51562,0.05551,0.17188,0.06445,0.00938,0.00173,0.02943,0.03325,0.01562,0.03062,2.29368,0.02780,1.11082,0.04227
action_conditioned_memory_v5,occluded_contact_memory,0.10,8,0.39062,0.10797,0.14317,0.00287,0.18337,0.02386,0.03967,0.01526,0.51562,0.08584,0.60938,0.10797,0.28125,0.10091,0.01406,0.00149,0.08359,0.04909,0.00000,0.00000,2.32742,0.08526,1.12196,0.04639
action_conditioned_memory_v5,occluded_contact_memory,0.20,8,0.39062,0.10797,0.14312,0.00293,0.18337,0.02386,0.03967,0.01526,0.51562,0.08584,0.60938,0.10797,0.28125,0.10091,0.01406,0.00149,0.08359,0.04909,0.01562,0.03062,2.32541,0.08753,1.11677,0.04549
action_conditioned_memory_v5,occluded_contact_memory,0.30,8,0.39062,0.10797,0.14312,0.00293,0.18337,0.02386,0.03967,0.01526,0.51562,0.08584,0.60938,0.10797,0.28125,0.10091,0.01406,0.00149,0.08359,0.04909,0.01562,0.03062,2.32541,0.08753,1.11677,0.04549
action_conditioned_memory_v5,occluded_contact_memory,0.40,8,0.39062,0.10797,0.14312,0.00293,0.18337,0.02386,0.03967,0.01526,0.51562,0.08584,0.60938,0.10797,0.28125,0.10091,0.01406,0.00149,0.08359,0.04909,0.01562,0.03062,2.32541,0.08753,1.11677,0.04549
damage_aware_visible_mpc,combined_memory_stress,0.10,8,0.62500,0.12250,0.14692,0.00255,0.58462,0.01832,0.20907,0.02337,0.53125,0.08966,0.37500,0.12250,0.17188,0.07936,0.03854,0.00218,0.09609,0.04601,0.00000,0.00000,2.24283,0.03479,1.13973,0.02596
damage_aware_visible_mpc,combined_memory_stress,0.20,8,0.62500,0.12250,0.14692,0.00255,0.58462,0.01832,0.20907,0.02337,0.53125,0.08966,0.37500,0.12250,0.17188,0.07936,0.03854,0.00218,0.09609,0.04601,0.00000,0.00000,2.24283,0.03479,1.13973,0.02596
damage_aware_visible_mpc,combined_memory_stress,0.30,8,0.62500,0.12250,0.14692,0.00255,0.58462,0.01832,0.20907,0.02337,0.53125,0.08966,0.37500,0.12250,0.17188,0.07936,0.03854,0.00218,0.09609,0.04601,0.00000,0.00000,2.24283,0.03479,1.13973,0.02596
damage_aware_visible_mpc,combined_memory_stress,0.40,8,0.62500,0.12250,0.14692,0.00255,0.58462,0.01832,0.20907,0.02337,0.53125,0.08966,0.37500,0.12250,0.17188,0.07936,0.03854,0.00218,0.09609,0.04601,0.00000,0.00000,2.24283,0.03479,1.13973,0.02596
damage_aware_visible_mpc,hidden_strain_memory,0.10,8,0.54688,0.04483,0.14308,0.00235,0.47402,0.01706,0.11436,0.01855,0.60938,0.03062,0.45312,0.04483,0.26562,0.03062,0.01172,0.00075,0.02891,0.03325,0.00000,0.00000,2.41306,0.02951,1.19946,0.01267
damage_aware_visible_mpc,hidden_strain_memory,0.20,8,0.54688,0.04483,0.14308,0.00235,0.47402,0.01706,0.11436,0.01855,0.60938,0.03062,0.45312,0.04483,0.26562,0.03062,0.01172,0.00075,0.02891,0.03325,0.00000,0.00000,2.41306,0.02951,1.19946,0.01267
damage_aware_visible_mpc,hidden_strain_memory,0.30,8,0.54688,0.04483,0.14308,0.00235,0.47402,0.01706,0.11436,0.01855,0.60938,0.03062,0.45312,0.04483,0.26562,0.03062,0.01172,0.00075,0.02891,0.03325,0.00000,0.00000,2.41306,0.02951,1.19946,0.01267
damage_aware_visible_mpc,hidden_strain_memory,0.40,8,0.54688,0.04483,0.14308,0.00235,0.47402,0.01706,0.11436,0.01855,0.60938,0.03062,0.45312,0.04483,0.26562,0.03062,0.01172,0.00075,0.02891,0.03325,0.00000,0.00000,2.41306,0.02951,1.19946,0.01267
damage_aware_visible_mpc,occluded_contact_memory,0.10,8,0.50000,0.10353,0.14058,0.00160,0.38971,0.01473,0.02547,0.01564,0.48438,0.03062,0.50000,0.10353,0.29688,0.06445,0.01719,0.00168,0.05729,0.03124,0.00000,0.00000,2.43863,0.06323,1.20713,0.03138
damage_aware_visible_mpc,occluded_contact_memory,0.20,8,0.50000,0.10353,0.14058,0.00160,0.38971,0.01473,0.02547,0.01564,0.48438,0.03062,0.50000,0.10353,0.29688,0.06445,0.01719,0.00168,0.05729,0.03124,0.00000,0.00000,2.43863,0.06323,1.20713,0.03138
damage_aware_visible_mpc,occluded_contact_memory,0.30,8,0.50000,0.10353,0.14058,0.00160,0.38971,0.01473,0.02547,0.01564,0.48438,0.03062,0.50000,0.10353,0.29688,0.06445,0.01719,0.00168,0.05729,0.03124,0.00000,0.00000,2.43863,0.06323,1.20713,0.03138
damage_aware_visible_mpc,occluded_contact_memory,0.40,8,0.50000,0.10353,0.14058,0.00160,0.38971,0.01473,0.02547,0.01564,0.48438,0.03062,0.50000,0.10353,0.29688,0.06445,0.01719,0.00168,0.05729,0.03124,0.00000,0.00000,2.43863,0.06323,1.20713,0.03138
ensemble_uncertainty_planner,combined_memory_stress,0.10,8,0.53125,0.11103,0.13849,0.00137,0.18772,0.02126,0.10356,0.02001,0.60938,0.03062,0.46875,0.11103,0.23438,0.11748,0.02213,0.00512,0.19766,0.06487,0.07812,0.06445,2.12209,0.06058,0.94974,0.06858
ensemble_uncertainty_planner,combined_memory_stress,0.20,8,0.32812,0.11282,0.13679,0.00293,0.18772,0.02126,0.10356,0.02001,0.51562,0.03062,0.67188,0.11282,0.60938,0.12627,0.03594,0.00296,0.36354,0.07184,0.98438,0.03062,2.31842,0.04223,1.14765,0.02228
ensemble_uncertainty_planner,combined_memory_stress,0.30,8,0.32812,0.11282,0.13679,0.00293,0.18772,0.02126,0.10356,0.02001,0.51562,0.03062,0.67188,0.11282,0.60938,0.12627,0.03594,0.00296,0.36354,0.07184,0.98438,0.03062,2.31842,0.04223,1.14765,0.02228
ensemble_uncertainty_planner,combined_memory_stress,0.40,8,0.32812,0.11282,0.13679,0.00293,0.18772,0.02126,0.10356,0.02001,0.51562,0.03062,0.67188,0.11282,0.60938,0.12627,0.03594,0.00296,0.36354,0.07184,0.98438,0.03062,2.31842,0.04223,1.14765,0.02228
ensemble_uncertainty_planner,hidden_strain_memory,0.10,8,0.46875,0.08966,0.14248,0.00217,0.16577,0.02141,0.08518,0.02116,0.68750,0.09260,0.53125,0.08966,0.18750,0.09260,0.00547,0.00132,0.10417,0.05556,0.48438,0.12627,2.22627,0.03111,0.99216,0.03480
ensemble_uncertainty_planner,hidden_strain_memory,0.20,8,0.46875,0.11103,0.14084,0.00223,0.16577,0.02141,0.08518,0.02116,0.65625,0.04010,0.53125,0.11103,0.42188,0.12195,0.00912,0.00132,0.20443,0.06775,0.96875,0.04010,2.39100,0.02907,1.14623,0.01121
ensemble_uncertainty_planner,hidden_strain_memory,0.30,8,0.46875,0.11103,0.14084,0.00223,0.16577,0.02141,0.08518,0.02116,0.65625,0.04010,0.53125,0.11103,0.42188,0.12195,0.00912,0.00132,0.20443,0.06775,0.96875,0.04010,2.39100,0.02907,1.14623,0.01121
ensemble_uncertainty_planner,hidden_strain_memory,0.40,8,0.46875,0.11103,0.14084,0.00223,0.16577,0.02141,0.08518,0.02116,0.65625,0.04010,0.53125,0.11103,0.42188,0.12195,0.00912,0.00132,0.20443,0.06775,0.96875,0.04010,2.39100,0.02907,1.14623,0.01121
ensemble_uncertainty_planner,occluded_contact_memory,0.10,8,0.37500,0.13096,0.14277,0.00429,0.16187,0.02205,0.07512,0.02415,0.54688,0.07936,0.62500,0.13096,0.23438,0.09753,0.01120,0.00107,0.10208,0.04677,0.09375,0.06125,2.26966,0.05627,1.06091,0.02733
ensemble_uncertainty_planner,occluded_contact_memory,0.20,8,0.34375,0.11103,0.14095,0.00241,0.16187,0.02205,0.07512,0.02415,0.46875,0.06125,0.65625,0.11103,0.51562,0.07229,0.01042,0.00134,0.25234,0.06783,0.92188,0.06445,2.41037,0.05108,1.13012,0.02130
ensemble_uncertainty_planner,occluded_contact_memory,0.30,8,0.34375,0.11103,0.14095,0.00241,0.16187,0.02205,0.07512,0.02415,0.46875,0.06125,0.65625,0.11103,0.51562,0.07229,0.01042,0.00134,0.25234,0.06783,0.92188,0.06445,2.41037,0.05108,1.13012,0.02130
ensemble_uncertainty_planner,occluded_contact_memory,0.40,8,0.34375,0.11103,0.14095,0.00241,0.16187,0.02205,0.07512,0.02415,0.46875,0.06125,0.65625,0.11103,0.51562,0.07229,0.01042,0.00134,0.25234,0.06783,0.92188,0.06445,2.41037,0.05108,1.13012,0.02130
oracle_latent_state,combined_memory_stress,0.10,8,0.82812,0.04483,0.13264,0.00344,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.17188,0.04483,0.04688,0.04483,0.02422,0.00587,0.07057,0.02953,0.00000,0.00000,2.07740,0.04998,0.98897,0.07350
oracle_latent_state,combined_memory_stress,0.20,8,0.82812,0.04483,0.13196,0.00333,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.17188,0.04483,0.04688,0.04483,0.02500,0.00603,0.07214,0.03029,0.00000,0.00000,2.08122,0.05052,0.99008,0.07420
oracle_latent_state,combined_memory_stress,0.30,8,0.82812,0.04483,0.13196,0.00333,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.17188,0.04483,0.04688,0.04483,0.02500,0.00603,0.07214,0.03029,0.00000,0.00000,2.08122,0.05052,0.99008,0.07420
oracle_latent_state,combined_memory_stress,0.40,8,0.82812,0.04483,0.13196,0.00333,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.17188,0.04483,0.04688,0.04483,0.02500,0.00603,0.07214,0.03029,0.00000,0.00000,2.08122,0.05052,0.99008,0.07420
oracle_latent_state,hidden_strain_memory,0.10,8,0.90625,0.10091,0.12687,0.00392,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.09375,0.10091,0.01562,0.03062,0.00208,0.00134,0.02734,0.01473,0.00000,0.00000,2.13846,0.04820,0.89783,0.04287
oracle_latent_state,hidden_strain_memory,0.20,8,0.90625,0.10091,0.12634,0.00356,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.09375,0.10091,0.01562,0.03062,0.00208,0.00134,0.02995,0.01557,0.00000,0.00000,2.13178,0.03987,0.89053,0.03497
oracle_latent_state,hidden_strain_memory,0.30,8,0.90625,0.10091,0.12634,0.00356,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.09375,0.10091,0.01562,0.03062,0.00208,0.00134,0.02995,0.01557,0.00000,0.00000,2.13178,0.03987,0.89053,0.03497
oracle_latent_state,hidden_strain_memory,0.40,8,0.90625,0.10091,0.12634,0.00356,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.09375,0.10091,0.01562,0.03062,0.00208,0.00134,0.02995,0.01557,0.00000,0.00000,2.13178,0.03987,0.89053,0.03497
oracle_latent_state,occluded_contact_memory,0.10,8,0.87500,0.08020,0.12829,0.00314,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.12500,0.08020,0.00000,0.00000,0.00573,0.00149,0.05990,0.02927,0.00000,0.00000,2.16549,0.04333,0.93314,0.05578
oracle_latent_state,occluded_contact_memory,0.20,8,0.87500,0.08020,0.12771,0.00233,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.12500,0.08020,0.00000,0.00000,0.00573,0.00149,0.06198,0.03091,0.00000,0.00000,2.16947,0.03848,0.93563,0.05699
oracle_latent_state,occluded_contact_memory,0.30,8,0.87500,0.08020,0.12771,0.00233,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.12500,0.08020,0.00000,0.00000,0.00573,0.00149,0.06198,0.03091,0.00000,0.00000,2.16947,0.03848,0.93563,0.05699
oracle_latent_state,occluded_contact_memory,0.40,8,0.87500,0.08020,0.12771,0.00233,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.12500,0.08020,0.00000,0.00000,0.00573,0.00149,0.06198,0.03091,0.00000,0.00000,2.16947,0.03848,0.93563,0.05699
particle_filter_memory,combined_memory_stress,0.10,8,0.43750,0.09260,0.14348,0.00289,0.18547,0.02091,0.19061,0.04649,0.45312,0.06445,0.56250,0.09260,0.35938,0.08584,0.03542,0.00327,0.21927,0.06508,0.29688,0.07936,2.24192,0.04328,1.12168,0.02795
particle_filter_memory,combined_memory_stress,0.20,8,0.31250,0.12250,0.13695,0.00301,0.18547,0.02091,0.19061,0.04649,0.51562,0.03062,0.68750,0.12250,0.62500,0.13096,0.03542,0.00267,0.37292,0.07692,0.98438,0.03062,2.32571,0.04048,1.14793,0.02424
particle_filter_memory,combined_memory_stress,0.30,8,0.31250,0.12250,0.13695,0.00301,0.18547,0.02091,0.19061,0.04649,0.51562,0.03062,0.68750,0.12250,0.62500,0.13096,0.03542,0.00267,0.37292,0.07692,0.98438,0.03062,2.32571,0.04048,1.14793,0.02424
particle_filter_memory,combined_memory_stress,0.40,8,0.31250,0.12250,0.13695,0.00301,0.18547,0.02091,0.19061,0.04649,0.51562,0.03062,0.68750,0.12250,0.62500,0.13096,0.03542,0.00267,0.37292,0.07692,0.98438,0.03062,2.32571,0.04048,1.14793,0.02424
particle_filter_memory,hidden_strain_memory,0.10,8,0.48438,0.07229,0.14499,0.00244,0.16699,0.01798,0.15409,0.02507,0.59375,0.04010,0.51562,0.07229,0.26562,0.03062,0.01042,0.00077,0.06771,0.03257,0.28125,0.11103,2.35695,0.03588,1.16138,0.01038
particle_filter_memory,hidden_strain_memory,0.20,8,0.45312,0.10288,0.14067,0.00230,0.16699,0.01798,0.15409,0.02507,0.64062,0.03062,0.54688,0.10288,0.43750,0.11341,0.00964,0.00132,0.20807,0.06116,0.93750,0.04630,2.38429,0.02470,1.15213,0.01329
particle_filter_memory,hidden_strain_memory,0.30,8,0.45312,0.10288,0.14067,0.00230,0.16699,0.01798,0.15409,0.02507,0.64062,0.03062,0.54688,0.10288,0.43750,0.11341,0.00964,0.00132,0.20807,0.06116,0.93750,0.04630,2.38429,0.02470,1.15213,0.01329
particle_filter_memory,hidden_strain_memory,0.40,8,0.45312,0.10288,0.14067,0.00230,0.16699,0.01798,0.15409,0.02507,0.64062,0.03062,0.54688,0.10288,0.43750,0.11341,0.00964,0.00132,0.20807,0.06116,0.93750,0.04630,2.38429,0.02470,1.15213,0.01329
particle_filter_memory,occluded_contact_memory,0.10,8,0.40625,0.10091,0.14320,0.00250,0.15452,0.02228,0.17646,0.04470,0.48438,0.05551,0.59375,0.10091,0.32812,0.11282,0.01641,0.00092,0.09297,0.05260,0.04688,0.06445,2.37516,0.07357,1.17270,0.01927
particle_filter_memory,occluded_contact_memory,0.20,8,0.35938,0.11748,0.14082,0.00234,0.15452,0.02228,0.17646,0.04470,0.51562,0.03062,0.64062,0.11748,0.51562,0.07229,0.00990,0.00149,0.26068,0.06729,1.00000,0.00000,2.41009,0.04293,1.12693,0.02244
particle_filter_memory,occluded_contact_memory,0.30,8,0.35938,0.11748,0.14082,0.00234,0.15452,0.02228,0.17646,0.04470,0.51562,0.03062,0.64062,0.11748,0.51562,0.07229,0.00990,0.00149,0.26068,0.06729,1.00000,0.00000,2.41009,0.04293,1.12693,0.02244
particle_filter_memory,occluded_contact_memory,0.40,8,0.35938,0.11748,0.14082,0.00234,0.15452,0.02228,0.17646,0.04470,0.51562,0.03062,0.64062,0.11748,0.51562,0.07229,0.00990,0.00149,0.26068,0.06729,1.00000,0.00000,2.41009,0.04293,1.12693,0.02244
robust_cem_surrogate,combined_memory_stress,0.10,8,0.59375,0.08966,0.14305,0.00249,0.26704,0.02448,0.09764,0.02247,0.54688,0.07936,0.40625,0.08966,0.20312,0.11282,0.03385,0.00325,0.12630,0.05895,0.07812,0.06445,2.21188,0.04722,1.08575,0.03287
robust_cem_surrogate,combined_memory_stress,0.20,8,0.43750,0.08020,0.13852,0.00357,0.26704,0.02448,0.09764,0.02247,0.48438,0.05551,0.56250,0.08020,0.45312,0.11282,0.03724,0.00196,0.27187,0.04107,0.76562,0.08584,2.30504,0.04651,1.14215,0.02886
robust_cem_surrogate,combined_memory_stress,0.30,8,0.43750,0.08020,0.13852,0.00357,0.26704,0.02448,0.09764,0.02247,0.48438,0.05551,0.56250,0.08020,0.45312,0.11282,0.03724,0.00196,0.27187,0.04107,0.76562,0.08584,2.30504,0.04651,1.14215,0.02886
robust_cem_surrogate,combined_memory_stress,0.40,8,0.43750,0.08020,0.13852,0.00357,0.26704,0.02448,0.09764,0.02247,0.48438,0.05551,0.56250,0.08020,0.45312,0.11282,0.03724,0.00196,0.27187,0.04107,0.76562,0.08584,2.30504,0.04651,1.14215,0.02886
robust_cem_surrogate,hidden_strain_memory,0.10,8,0.51562,0.08584,0.14315,0.00230,0.21772,0.03077,0.07097,0.03038,0.64062,0.05551,0.48438,0.08584,0.18750,0.06548,0.00938,0.00134,0.04245,0.03279,0.09375,0.06125,2.30784,0.04174,1.11049,0.04539
robust_cem_surrogate,hidden_strain_memory,0.20,8,0.48438,0.11748,0.14320,0.00209,0.21772,0.03077,0.07097,0.03038,0.67188,0.07936,0.51562,0.11748,0.35938,0.11748,0.00990,0.00128,0.13307,0.07289,0.54688,0.07936,2.38126,0.04538,1.15552,0.01874
robust_cem_surrogate,hidden_strain_memory,0.30,8,0.48438,0.11748,0.14320,0.00209,0.21772,0.03077,0.07097,0.03038,0.67188,0.07936,0.51562,0.11748,0.35938,0.11748,0.00990,0.00128,0.13307,0.07289,0.54688,0.07936,2.38126,0.04538,1.15552,0.01874
robust_cem_surrogate,hidden_strain_memory,0.40,8,0.48438,0.11748,0.14320,0.00209,0.21772,0.03077,0.07097,0.03038,0.67188,0.07936,0.51562,0.11748,0.35938,0.11748,0.00990,0.00128,0.13307,0.07289,0.54688,0.07936,2.38126,0.04538,1.15552,0.01874
robust_cem_surrogate,occluded_contact_memory,0.10,8,0.40625,0.10091,0.14349,0.00285,0.20156,0.02531,0.04953,0.01779,0.50000,0.09260,0.59375,0.10091,0.28125,0.10091,0.01563,0.00134,0.06745,0.03244,0.00000,0.00000,2.35468,0.08337,1.16417,0.03154
robust_cem_surrogate,occluded_contact_memory,0.20,8,0.39062,0.10797,0.14463,0.00306,0.20156,0.02531,0.04953,0.01779,0.46875,0.07678,0.60938,0.10797,0.39062,0.07229,0.01302,0.00185,0.15286,0.05731,0.50000,0.09260,2.39446,0.05464,1.17021,0.02460
robust_cem_surrogate,occluded_contact_memory,0.30,8,0.39062,0.10797,0.14463,0.00306,0.20156,0.02531,0.04953,0.01779,0.46875,0.07678,0.60938,0.10797,0.39062,0.07229,0.01302,0.00185,0.15286,0.05731,0.50000,0.09260,2.39446,0.05464,1.17021,0.02460
robust_cem_surrogate,occluded_contact_memory,0.40,8,0.39062,0.10797,0.14463,0.00306,0.20156,0.02531,0.04953,0.01779,0.46875,0.07678,0.60938,0.10797,0.39062,0.07229,0.01302,0.00185,0.15286,0.05731,0.50000,0.09260,2.39446,0.05464,1.17021,0.02460
safety_constrained_particle_filter,combined_memory_stress,0.10,8,0.54688,0.07936,0.14234,0.00273,0.26637,0.02573,0.03724,0.02140,0.53125,0.07678,0.45312,0.07936,0.23438,0.13449,0.03385,0.00343,0.15417,0.06748,0.12500,0.09260,2.21777,0.05568,1.08097,0.03633
safety_constrained_particle_filter,combined_memory_stress,0.20,8,0.53125,0.06125,0.14069,0.00280,0.26637,0.02573,0.03724,0.02140,0.45312,0.04483,0.46875,0.06125,0.29688,0.11282,0.03307,0.00331,0.20521,0.05267,0.40625,0.11103,2.23708,0.05485,1.08800,0.03106
safety_constrained_particle_filter,combined_memory_stress,0.30,8,0.53125,0.06125,0.14069,0.00280,0.26637,0.02573,0.03724,0.02140,0.45312,0.04483,0.46875,0.06125,0.29688,0.11282,0.03307,0.00331,0.20521,0.05267,0.40625,0.11103,2.23708,0.05485,1.08800,0.03106
safety_constrained_particle_filter,combined_memory_stress,0.40,8,0.53125,0.06125,0.14069,0.00280,0.26637,0.02573,0.03724,0.02140,0.45312,0.04483,0.46875,0.06125,0.29688,0.11282,0.03307,0.00331,0.20521,0.05267,0.40625,0.11103,2.23708,0.05485,1.08800,0.03106
safety_constrained_particle_filter,hidden_strain_memory,0.10,8,0.50000,0.06548,0.14415,0.00228,0.21857,0.03071,0.04034,0.02568,0.60938,0.03062,0.50000,0.06548,0.23438,0.05551,0.01120,0.00107,0.02891,0.03325,0.00000,0.00000,2.36477,0.04848,1.17733,0.02213
safety_constrained_particle_filter,hidden_strain_memory,0.20,8,0.50000,0.06548,0.14418,0.00231,0.21857,0.03071,0.04034,0.02568,0.60938,0.03062,0.50000,0.06548,0.23438,0.05551,0.01120,0.00107,0.03255,0.03390,0.01562,0.03062,2.36259,0.04786,1.17573,0.02282
safety_constrained_particle_filter,hidden_strain_memory,0.30,8,0.50000,0.06548,0.14418,0.00231,0.21857,0.03071,0.04034,0.02568,0.60938,0.03062,0.50000,0.06548,0.23438,0.05551,0.01120,0.00107,0.03255,0.03390,0.01562,0.03062,2.36259,0.04786,1.17573,0.02282
