seed,scenario,scenario_id,split,object_type,method,chosen_action,true_memory,estimated_memory,uncertainty,visible_fraction,success,shape_error,memory_error,damage,max_stretch,contact_rate,force_clip_rate,strain_energy,final_progress,diagnostic_count,actual_failures,predicted_failures,actual_failure_bits,predicted_failure_bits,trajectory
0,3,nominal_visible_state_0_3_deformable_sheet,nominal_visible_state,deformable_sheet,oracle_latent_state,center_pull,0.12963,0.12963,0.00000,1.00000,1,0.12499,0.00000,0.00000,1.46683,0.00000,0.00000,1.00540,0.16536,0,,,00000000,00000000,0:err=0.250:stretch=1.47:contact=0;11:err=0.154:stretch=1.47:contact=0;22:err=0.098:stretch=1.47:contact=0;33:err=0.102:stretch=1.47:contact=0;44:err=0.122:stretch=1.47:contact=0;55:err=0.126:stretch=1.47:contact=0;57:err=0.125:stretch=1.47:contact=0
0,4,nominal_visible_state_0_4_rope,nominal_visible_state,rope,visible_state_mpc,pull_high,-0.11305,0.00000,0.36998,1.00000,0,0.17130,0.11305,1.00000,3.62042,0.00000,0.01724,1.00222,0.12786,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.245:stretch=1.16:contact=0;11:err=0.200:stretch=3.62:contact=0;22:err=0.170:stretch=3.62:contact=0;33:err=0.165:stretch=3.62:contact=0;44:err=0.168:stretch=3.62:contact=0;55:err=0.171:stretch=3.62:contact=0;57:err=0.171:stretch=3.62:contact=0
0,4,nominal_visible_state_0_4_rope,nominal_visible_state,rope,history_rnn_estimator,pull_high,-0.11305,-0.49295,0.27326,1.00000,0,0.17130,0.37989,1.00000,3.62042,0.00000,0.01724,1.00222,0.12786,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.245:stretch=1.16:contact=0;11:err=0.200:stretch=3.62:contact=0;22:err=0.170:stretch=3.62:contact=0;33:err=0.165:stretch=3.62:contact=0;44:err=0.168:stretch=3.62:contact=0;55:err=0.171:stretch=3.62:contact=0;57:err=0.171:stretch=3.62:contact=0
0,4,nominal_visible_state_0_4_rope,nominal_visible_state,rope,particle_filter_memory,pull_high,-0.11305,-0.49295,0.31049,1.00000,0,0.17130,0.37989,1.00000,3.62042,0.00000,0.01724,1.00222,0.12786,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.245:stretch=1.16:contact=0;11:err=0.200:stretch=3.62:contact=0;22:err=0.170:stretch=3.62:contact=0;33:err=0.165:stretch=3.62:contact=0;44:err=0.168:stretch=3.62:contact=0;55:err=0.171:stretch=3.62:contact=0;57:err=0.171:stretch=3.62:contact=0
0,4,nominal_visible_state_0_4_rope,nominal_visible_state,rope,graph_dynamics_baseline,pull_high,-0.11305,-0.19989,0.27861,1.00000,0,0.17130,0.08683,1.00000,3.62042,0.00000,0.01724,1.00222,0.12786,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.245:stretch=1.16:contact=0;11:err=0.200:stretch=3.62:contact=0;22:err=0.170:stretch=3.62:contact=0;33:err=0.165:stretch=3.62:contact=0;44:err=0.168:stretch=3.62:contact=0;55:err=0.171:stretch=3.62:contact=0;57:err=0.171:stretch=3.62:contact=0
0,4,nominal_visible_state_0_4_rope,nominal_visible_state,rope,ensemble_uncertainty_planner,pull_high,-0.11305,-0.48449,0.08000,1.00000,0,0.17130,0.37144,1.00000,3.62042,0.00000,0.01724,1.00222,0.12786,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.245:stretch=1.16:contact=0;11:err=0.200:stretch=3.62:contact=0;22:err=0.170:stretch=3.62:contact=0;33:err=0.165:stretch=3.62:contact=0;44:err=0.168:stretch=3.62:contact=0;55:err=0.171:stretch=3.62:contact=0;57:err=0.171:stretch=3.62:contact=0
0,4,nominal_visible_state_0_4_rope,nominal_visible_state,rope,action_conditioned_memory,diagnostic_branch_pull,-0.11305,-0.44979,0.08764,1.00000,0,0.18096,0.33673,1.00000,3.71210,0.00000,0.00000,1.08757,0.12784,1,excessive_stretch;wrong_memory_branch;shape_failure,,10001010,00000000,0:err=0.250:stretch=1.16:contact=0;11:err=0.252:stretch=1.42:contact=0;22:err=0.213:stretch=3.71:contact=0;33:err=0.182:stretch=3.71:contact=0;44:err=0.179:stretch=3.71:contact=0;55:err=0.181:stretch=3.71:contact=0;57:err=0.181:stretch=3.71:contact=0
0,4,nominal_visible_state_0_4_rope,nominal_visible_state,rope,oracle_latent_state,gentle_relax_pull,-0.11305,-0.11305,0.00000,1.00000,0,0.15432,0.00000,0.00000,2.87013,0.00000,0.00000,0.58008,0.11389,0,shape_failure,shape_failure,00000010,00000010,0:err=0.246:stretch=1.16:contact=0;11:err=0.174:stretch=2.87:contact=0;22:err=0.151:stretch=2.87:contact=0;33:err=0.148:stretch=2.87:contact=0;44:err=0.151:stretch=2.87:contact=0;55:err=0.154:stretch=2.87:contact=0;57:err=0.154:stretch=2.87:contact=0
0,5,nominal_visible_state_0_5_cloth_strip,nominal_visible_state,cloth_strip,visible_state_mpc,pull_low,-0.12075,0.00000,0.35268,1.00000,0,0.15772,0.12075,0.00000,1.98231,0.00000,0.01724,1.37114,0.15039,0,wrong_memory_branch;shape_failure,,00001010,00000000,0:err=0.250:stretch=1.29:contact=0;11:err=0.187:stretch=1.98:contact=0;22:err=0.150:stretch=1.98:contact=0;33:err=0.144:stretch=1.98:contact=0;44:err=0.153:stretch=1.98:contact=0;55:err=0.158:stretch=1.98:contact=0;57:err=0.158:stretch=1.98:contact=0
0,5,nominal_visible_state_0_5_cloth_strip,nominal_visible_state,cloth_strip,history_rnn_estimator,diagnostic_branch_pull,-0.12075,-0.26557,0.28753,1.00000,0,0.15904,0.14482,0.00000,2.03062,0.25862,0.00000,1.39551,0.15294,1,wrong_memory_branch;shape_failure,,00001010,00000000,0:err=0.254:stretch=1.29:contact=0;11:err=0.255:stretch=1.30:contact=1;22:err=0.192:stretch=2.03:contact=0;33:err=0.160:stretch=2.03:contact=0;44:err=0.154:stretch=2.03:contact=0;55:err=0.158:stretch=2.03:contact=0;57:err=0.159:stretch=2.03:contact=0
0,5,nominal_visible_state_0_5_cloth_strip,nominal_visible_state,cloth_strip,particle_filter_memory,diagnostic_branch_pull,-0.12075,-0.26557,0.34759,1.00000,0,0.15904,0.14482,0.00000,2.03062,0.25862,0.00000,1.39551,0.15294,1,wrong_memory_branch;shape_failure,,00001010,00000000,0:err=0.254:stretch=1.29:contact=0;11:err=0.255:stretch=1.30:contact=1;22:err=0.192:stretch=2.03:contact=0;33:err=0.160:stretch=2.03:contact=0;44:err=0.154:stretch=2.03:contact=0;55:err=0.158:stretch=2.03:contact=0;57:err=0.159:stretch=2.03:contact=0
0,5,nominal_visible_state_0_5_cloth_strip,nominal_visible_state,cloth_strip,graph_dynamics_baseline,pull_low,-0.12075,0.08456,0.29003,1.00000,0,0.15772,0.20531,0.00000,1.98231,0.00000,0.01724,1.37114,0.15039,0,wrong_memory_branch;shape_failure,,00001010,00000000,0:err=0.250:stretch=1.29:contact=0;11:err=0.187:stretch=1.98:contact=0;22:err=0.150:stretch=1.98:contact=0;33:err=0.144:stretch=1.98:contact=0;44:err=0.153:stretch=1.98:contact=0;55:err=0.158:stretch=1.98:contact=0;57:err=0.158:stretch=1.98:contact=0
