method,split,seed,episodes,success,shape_error,memory_error,memory_calibration_error,mechanism_macro_f1,tail_risk,damage_rate,force_clip_rate,contact_rate,diagnostic_rate,max_stretch,strain_energy
action_conditioned_v5_full,combined_memory_stress,0,10,0.70000,0.14581,0.28668,0.11268,0.50000,0.30000,0.10000,0.03000,0.13833,0.00000,2.32156,1.05166
action_conditioned_v5_full,combined_memory_stress,1,10,0.60000,0.13565,0.30321,0.13423,0.37500,0.40000,0.10000,0.03167,0.12500,0.00000,2.06904,1.09363
action_conditioned_v5_full,combined_memory_stress,2,10,0.60000,0.13778,0.29686,0.13605,0.37500,0.40000,0.40000,0.03000,0.22833,0.00000,2.28464,1.07844
action_conditioned_v5_full,combined_memory_stress,3,10,0.50000,0.14688,0.28488,0.11047,0.62500,0.50000,0.40000,0.03000,0.29667,0.00000,2.16876,1.07951
action_conditioned_v5_full,combined_memory_stress,4,10,0.40000,0.14452,0.22288,0.03026,0.50000,0.60000,0.30000,0.03333,0.18833,0.00000,2.33556,1.12781
action_conditioned_v5_full,combined_memory_stress,5,10,0.50000,0.14369,0.28809,0.15572,0.37500,0.50000,0.20000,0.03333,0.14167,0.00000,2.10657,1.10735
action_conditioned_v5_full,combined_memory_stress,6,10,0.60000,0.13467,0.25780,0.08814,0.50000,0.40000,0.20000,0.01833,0.19167,0.00000,2.03861,0.90705
action_conditioned_v5_full,combined_memory_stress,7,10,0.40000,0.14233,0.18906,0.01006,0.37500,0.60000,0.50000,0.01667,0.31667,0.00000,2.16834,0.87472
action_conditioned_v5_no_action_conditioning,combined_memory_stress,0,10,0.70000,0.14807,0.53101,0.23701,0.62500,0.30000,0.00000,0.03833,0.06333,0.00000,2.36774,1.17036
action_conditioned_v5_no_action_conditioning,combined_memory_stress,1,10,0.50000,0.14232,0.61473,0.32575,0.37500,0.50000,0.10000,0.04000,0.12167,0.00000,2.19495,1.21243
action_conditioned_v5_no_action_conditioning,combined_memory_stress,2,10,0.70000,0.13933,0.50829,0.22747,0.37500,0.30000,0.30000,0.03166,0.15833,0.00000,2.31272,1.10499
action_conditioned_v5_no_action_conditioning,combined_memory_stress,3,10,0.50000,0.15006,0.52739,0.23298,0.50000,0.50000,0.40000,0.03500,0.29667,0.00000,2.21675,1.11316
action_conditioned_v5_no_action_conditioning,combined_memory_stress,4,10,0.50000,0.15116,0.54046,0.22784,0.37500,0.50000,0.30000,0.04000,0.12167,0.00000,2.40379,1.20923
action_conditioned_v5_no_action_conditioning,combined_memory_stress,5,10,0.50000,0.14369,0.35852,0.10614,0.37500,0.50000,0.20000,0.03333,0.14167,0.00000,2.10657,1.10735
action_conditioned_v5_no_action_conditioning,combined_memory_stress,6,10,0.80000,0.14349,0.54608,0.25642,0.50000,0.20000,0.10000,0.03666,0.04333,0.00000,2.23405,1.17170
action_conditioned_v5_no_action_conditioning,combined_memory_stress,7,10,0.60000,0.15349,0.56019,0.24107,0.37500,0.40000,0.30000,0.03333,0.12333,0.00000,2.29412,1.09545
action_conditioned_v5_no_branch_memory,combined_memory_stress,0,10,0.60000,0.14066,0.28668,0.01268,0.62500,0.40000,0.20000,0.01833,0.22500,0.00000,2.22078,0.93237
action_conditioned_v5_no_branch_memory,combined_memory_stress,1,10,0.70000,0.13475,0.30321,0.03423,0.50000,0.30000,0.10000,0.02333,0.16667,0.00000,2.02415,0.95076
action_conditioned_v5_no_branch_memory,combined_memory_stress,2,10,0.60000,0.13503,0.29686,0.03605,0.37500,0.40000,0.40000,0.02667,0.22833,0.00000,2.23206,1.04863
action_conditioned_v5_no_branch_memory,combined_memory_stress,3,10,0.50000,0.14580,0.28488,0.01047,0.62500,0.50000,0.40000,0.02667,0.29667,0.00000,2.14153,1.01004
action_conditioned_v5_no_branch_memory,combined_memory_stress,4,10,0.30000,0.14080,0.22288,0.06974,0.50000,0.70000,0.30000,0.02833,0.19000,0.00000,2.21705,1.01076
action_conditioned_v5_no_branch_memory,combined_memory_stress,5,10,0.50000,0.14019,0.28809,0.05572,0.50000,0.50000,0.30000,0.02500,0.21167,0.00000,2.04618,1.00911
action_conditioned_v5_no_branch_memory,combined_memory_stress,6,10,0.60000,0.13467,0.25780,0.01186,0.50000,0.40000,0.20000,0.01833,0.19167,0.00000,2.03861,0.90705
action_conditioned_v5_no_branch_memory,combined_memory_stress,7,10,0.40000,0.14003,0.18906,0.11006,0.68750,0.60000,0.40000,0.01167,0.31333,0.00000,2.10380,0.80198
action_conditioned_v5_no_damage_penalty,combined_memory_stress,0,10,0.70000,0.14581,0.28668,0.11268,0.50000,0.30000,0.10000,0.03000,0.13833,0.00000,2.32156,1.05166
action_conditioned_v5_no_damage_penalty,combined_memory_stress,1,10,0.60000,0.13565,0.30321,0.13423,0.37500,0.40000,0.10000,0.03167,0.12500,0.00000,2.06904,1.09363
action_conditioned_v5_no_damage_penalty,combined_memory_stress,2,10,0.60000,0.13778,0.29686,0.13605,0.37500,0.40000,0.40000,0.03000,0.22833,0.00000,2.28464,1.07844
action_conditioned_v5_no_damage_penalty,combined_memory_stress,3,10,0.50000,0.14688,0.28488,0.11047,0.62500,0.50000,0.40000,0.03000,0.29667,0.00000,2.16876,1.07951
action_conditioned_v5_no_damage_penalty,combined_memory_stress,4,10,0.40000,0.14452,0.22288,0.03026,0.50000,0.60000,0.30000,0.03333,0.18833,0.00000,2.33556,1.12781
