method,split,seed,episodes,success,shape_error,memory_error,memory_calibration_error,mechanism_macro_f1,tail_risk,damage_rate,force_clip_rate,contact_rate,diagnostic_rate,max_stretch,strain_energy
action_conditioned_v5_no_damage_penalty,combined_memory_stress,5,10,0.50000,0.14369,0.28809,0.15572,0.37500,0.50000,0.20000,0.03333,0.14167,0.00000,2.10657,1.10735
action_conditioned_v5_no_damage_penalty,combined_memory_stress,6,10,0.60000,0.13467,0.25780,0.08814,0.50000,0.40000,0.20000,0.01833,0.19167,0.00000,2.03861,0.90705
action_conditioned_v5_no_damage_penalty,combined_memory_stress,7,10,0.40000,0.14233,0.18906,0.01006,0.37500,0.60000,0.50000,0.01667,0.31667,0.00000,2.16834,0.87472
action_conditioned_v5_no_diagnostic_gate,combined_memory_stress,0,10,0.60000,0.14462,0.28668,0.11268,0.50000,0.40000,0.20000,0.02667,0.20667,0.10000,2.31669,1.02425
action_conditioned_v5_no_diagnostic_gate,combined_memory_stress,1,10,0.50000,0.13743,0.30321,0.13423,0.37500,0.50000,0.10000,0.03333,0.16167,0.10000,2.08976,1.12118
action_conditioned_v5_no_diagnostic_gate,combined_memory_stress,2,10,0.50000,0.13940,0.29686,0.13605,0.37500,0.50000,0.50000,0.03167,0.27167,0.30000,2.33399,1.12696
action_conditioned_v5_no_diagnostic_gate,combined_memory_stress,3,10,0.50000,0.14623,0.28488,0.11047,0.62500,0.50000,0.40000,0.03167,0.32000,0.10000,2.21917,1.09462
action_conditioned_v5_no_diagnostic_gate,combined_memory_stress,4,10,0.40000,0.14382,0.22288,0.03026,0.50000,0.60000,0.30000,0.03167,0.21833,0.20000,2.42595,1.14278
action_conditioned_v5_no_diagnostic_gate,combined_memory_stress,5,10,0.50000,0.14552,0.28809,0.15572,0.37500,0.50000,0.20000,0.03500,0.10167,0.10000,2.14223,1.17132
action_conditioned_v5_no_diagnostic_gate,combined_memory_stress,6,10,0.60000,0.13467,0.25780,0.08814,0.50000,0.40000,0.20000,0.01833,0.19167,0.00000,2.03861,0.90705
action_conditioned_v5_no_diagnostic_gate,combined_memory_stress,7,10,0.40000,0.14557,0.18906,0.01006,0.37500,0.60000,0.40000,0.02000,0.26167,0.20000,2.19549,0.96022
action_conditioned_v5_no_material_memory,combined_memory_stress,0,10,0.80000,0.14695,0.26311,0.00911,0.62500,0.20000,0.00000,0.03333,0.06333,0.00000,2.33886,1.10270
action_conditioned_v5_no_material_memory,combined_memory_stress,1,10,0.70000,0.13678,0.24759,0.00139,0.37500,0.30000,0.10000,0.03667,0.12167,0.00000,2.18119,1.17347
action_conditioned_v5_no_material_memory,combined_memory_stress,2,10,0.60000,0.13503,0.24371,0.00290,0.37500,0.40000,0.40000,0.02667,0.22833,0.00000,2.23206,1.04863
action_conditioned_v5_no_material_memory,combined_memory_stress,3,10,0.50000,0.14688,0.23011,0.02430,0.62500,0.50000,0.40000,0.03000,0.29667,0.00000,2.16876,1.07951
action_conditioned_v5_no_material_memory,combined_memory_stress,4,10,0.30000,0.14208,0.22093,0.05169,0.50000,0.70000,0.40000,0.03333,0.18833,0.00000,2.32904,1.09116
action_conditioned_v5_no_material_memory,combined_memory_stress,5,10,0.50000,0.14369,0.26830,0.05593,0.37500,0.50000,0.20000,0.03333,0.14167,0.00000,2.10657,1.10735
action_conditioned_v5_no_material_memory,combined_memory_stress,6,10,0.70000,0.13329,0.23423,0.01542,0.50000,0.30000,0.20000,0.02833,0.17167,0.00000,2.17420,1.06523
action_conditioned_v5_no_material_memory,combined_memory_stress,7,10,0.50000,0.14260,0.19185,0.08727,0.37500,0.50000,0.40000,0.01667,0.27000,0.00000,2.16641,0.87495
action_conditioned_v5_no_safety_gate,combined_memory_stress,0,10,0.70000,0.14581,0.28668,0.11268,0.50000,0.30000,0.10000,0.03000,0.13833,0.00000,2.32156,1.05166
action_conditioned_v5_no_safety_gate,combined_memory_stress,1,10,0.60000,0.13777,0.30321,0.13423,0.37500,0.40000,0.10000,0.03333,0.12167,0.00000,2.14454,1.14658
action_conditioned_v5_no_safety_gate,combined_memory_stress,2,10,0.60000,0.13778,0.29686,0.13605,0.37500,0.40000,0.40000,0.03000,0.22833,0.00000,2.28464,1.07844
action_conditioned_v5_no_safety_gate,combined_memory_stress,3,10,0.50000,0.14688,0.28488,0.11047,0.62500,0.50000,0.40000,0.03000,0.29667,0.00000,2.16876,1.07951
action_conditioned_v5_no_safety_gate,combined_memory_stress,4,10,0.40000,0.14452,0.22288,0.03026,0.50000,0.60000,0.30000,0.03333,0.18833,0.00000,2.33556,1.12781
action_conditioned_v5_no_safety_gate,combined_memory_stress,5,10,0.50000,0.14369,0.28809,0.15572,0.37500,0.50000,0.20000,0.03333,0.14167,0.00000,2.10657,1.10735
action_conditioned_v5_no_safety_gate,combined_memory_stress,6,10,0.60000,0.13467,0.25780,0.08814,0.50000,0.40000,0.20000,0.01833,0.19167,0.00000,2.03861,0.90705
action_conditioned_v5_no_safety_gate,combined_memory_stress,7,10,0.40000,0.14233,0.18906,0.01006,0.37500,0.60000,0.50000,0.01667,0.31667,0.00000,2.16834,0.87472
action_conditioned_v5_no_uncertainty_term,combined_memory_stress,0,10,0.60000,0.14066,0.28668,0.28668,0.62500,0.40000,0.20000,0.01833,0.22500,0.00000,2.22078,0.93237
action_conditioned_v5_no_uncertainty_term,combined_memory_stress,1,10,0.70000,0.13475,0.30321,0.30321,0.50000,0.30000,0.10000,0.02333,0.16667,0.00000,2.02415,0.95076
action_conditioned_v5_no_uncertainty_term,combined_memory_stress,2,10,0.60000,0.13503,0.29686,0.29686,0.37500,0.40000,0.40000,0.02667,0.22833,0.00000,2.23206,1.04863
action_conditioned_v5_no_uncertainty_term,combined_memory_stress,3,10,0.50000,0.14580,0.28488,0.28488,0.62500,0.50000,0.40000,0.02667,0.29667,0.00000,2.14153,1.01004
action_conditioned_v5_no_uncertainty_term,combined_memory_stress,4,10,0.30000,0.14080,0.22288,0.22288,0.50000,0.70000,0.30000,0.02833,0.19000,0.00000,2.21705,1.01076
action_conditioned_v5_no_uncertainty_term,combined_memory_stress,5,10,0.50000,0.14019,0.28809,0.28809,0.50000,0.50000,0.30000,0.02500,0.21167,0.00000,2.04618,1.00911
action_conditioned_v5_no_uncertainty_term,combined_memory_stress,6,10,0.60000,0.13467,0.25780,0.25780,0.50000,0.40000,0.20000,0.01833,0.19167,0.00000,2.03861,0.90705
action_conditioned_v5_no_uncertainty_term,combined_memory_stress,7,10,0.40000,0.14003,0.18906,0.18906,0.68750,0.60000,0.40000,0.01167,0.31333,0.00000,2.10380,0.80198
