seed,scenario,scenario_id,split,risk_budget,object_type,method,chosen_action,true_memory,estimated_memory,uncertainty,predicted_risk,visible_fraction,success,shape_error,memory_error,damage,max_stretch,contact_rate,force_clip_rate,strain_energy,final_progress,diagnostic_count,actual_failures,predicted_failures,actual_failure_bits,predicted_failure_bits,trajectory
0,12000,hidden_strain_memory_0_12000_rope,hidden_strain_memory,0.10,rope,visible_state_mpc,pull_low,0.42940,0.00000,0.35291,0.02250,0.80000,0,0.17799,0.42940,1.00000,3.68579,0.13333,0.01667,1.06538,0.12352,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.251:stretch=1.45:contact=0;12:err=0.205:stretch=3.69:contact=0;24:err=0.177:stretch=3.69:contact=0;36:err=0.174:stretch=3.69:contact=0;48:err=0.176:stretch=3.69:contact=0;59:err=0.178:stretch=3.69:contact=0
0,12000,hidden_strain_memory_0_12000_rope,hidden_strain_memory,0.10,rope,damage_aware_visible_mpc,pull_low,0.42940,0.00000,0.35291,0.02250,0.80000,0,0.17799,0.42940,1.00000,3.68579,0.13333,0.01667,1.06538,0.12352,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.251:stretch=1.45:contact=0;12:err=0.205:stretch=3.69:contact=0;24:err=0.177:stretch=3.69:contact=0;36:err=0.174:stretch=3.69:contact=0;48:err=0.176:stretch=3.69:contact=0;59:err=0.178:stretch=3.69:contact=0
0,12000,hidden_strain_memory_0_12000_rope,hidden_strain_memory,0.10,rope,particle_filter_memory,pull_low,0.42940,0.28350,0.36021,0.02250,0.80000,0,0.17799,0.14590,1.00000,3.68579,0.13333,0.01667,1.06538,0.12352,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.251:stretch=1.45:contact=0;12:err=0.205:stretch=3.69:contact=0;24:err=0.177:stretch=3.69:contact=0;36:err=0.174:stretch=3.69:contact=0;48:err=0.176:stretch=3.69:contact=0;59:err=0.178:stretch=3.69:contact=0
0,12000,hidden_strain_memory_0_12000_rope,hidden_strain_memory,0.10,rope,safety_constrained_particle_filter,pull_low,0.42940,0.17263,0.27217,0.02250,0.80000,0,0.17799,0.25677,1.00000,3.68579,0.13333,0.01667,1.06538,0.12352,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.251:stretch=1.45:contact=0;12:err=0.205:stretch=3.69:contact=0;24:err=0.177:stretch=3.69:contact=0;36:err=0.174:stretch=3.69:contact=0;48:err=0.176:stretch=3.69:contact=0;59:err=0.178:stretch=3.69:contact=0
0,12000,hidden_strain_memory_0_12000_rope,hidden_strain_memory,0.10,rope,ensemble_uncertainty_planner,diagnostic_branch_pull,0.42940,0.28674,0.08000,0.10250,0.80000,0,0.17699,0.14266,1.00000,3.72887,0.46667,0.01667,1.14268,0.12424,1,excessive_stretch;fixture_snag;shape_failure,,11000010,00000000,0:err=0.256:stretch=1.45:contact=0;12:err=0.263:stretch=1.45:contact=1;24:err=0.222:stretch=3.73:contact=1;36:err=0.186:stretch=3.73:contact=0;48:err=0.176:stretch=3.73:contact=0;59:err=0.177:stretch=3.73:contact=0
0,12000,hidden_strain_memory_0_12000_rope,hidden_strain_memory,0.10,rope,robust_cem_surrogate,pull_low,0.42940,0.17564,0.15532,0.02250,0.80000,0,0.17799,0.25376,1.00000,3.68579,0.13333,0.01667,1.06538,0.12352,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.251:stretch=1.45:contact=0;12:err=0.205:stretch=3.69:contact=0;24:err=0.177:stretch=3.69:contact=0;36:err=0.174:stretch=3.69:contact=0;48:err=0.176:stretch=3.69:contact=0;59:err=0.178:stretch=3.69:contact=0
0,12000,hidden_strain_memory_0_12000_rope,hidden_strain_memory,0.10,rope,action_conditioned_memory,diagnostic_branch_pull,0.42940,0.23591,0.10282,0.10250,0.80000,0,0.17699,0.19349,1.00000,3.72887,0.46667,0.01667,1.14268,0.12424,1,excessive_stretch;fixture_snag;shape_failure,,11000010,00000000,0:err=0.256:stretch=1.45:contact=0;12:err=0.263:stretch=1.45:contact=1;24:err=0.222:stretch=3.73:contact=1;36:err=0.186:stretch=3.73:contact=0;48:err=0.176:stretch=3.73:contact=0;59:err=0.177:stretch=3.73:contact=0
0,12000,hidden_strain_memory_0_12000_rope,hidden_strain_memory,0.10,rope,action_conditioned_memory_v5,pull_low,0.42940,0.20540,0.15007,0.02250,0.80000,0,0.17799,0.22399,1.00000,3.68579,0.13333,0.01667,1.06538,0.12352,0,excessive_stretch;shape_failure,,10000010,00000000,0:err=0.251:stretch=1.45:contact=0;12:err=0.205:stretch=3.69:contact=0;24:err=0.177:stretch=3.69:contact=0;36:err=0.174:stretch=3.69:contact=0;48:err=0.176:stretch=3.69:contact=0;59:err=0.178:stretch=3.69:contact=0
0,12000,hidden_strain_memory_0_12000_rope,hidden_strain_memory,0.10,rope,oracle_latent_state,two_end_stretch,0.42940,0.42940,0.00000,0.05000,0.80000,0,0.20668,0.00000,0.00000,3.03007,0.10000,0.00000,0.76028,0.05133,0,shape_failure,shape_failure,00000010,00000010,0:err=0.254:stretch=1.45:contact=0;12:err=0.211:stretch=3.03:contact=0;24:err=0.201:stretch=3.03:contact=0;36:err=0.203:stretch=3.03:contact=0;48:err=0.208:stretch=3.03:contact=0;59:err=0.207:stretch=3.03:contact=0
0,12001,hidden_strain_memory_0_12001_cloth_strip,hidden_strain_memory,0.10,cloth_strip,visible_state_mpc,pull_high,-0.42310,0.00000,0.36383,0.02250,0.83333,1,0.14644,0.42310,0.00000,1.95465,0.00000,0.01667,1.41071,0.15226,0,,,00000000,00000000,0:err=0.252:stretch=1.27:contact=0;12:err=0.175:stretch=1.95:contact=0;24:err=0.132:stretch=1.95:contact=0;36:err=0.131:stretch=1.95:contact=0;48:err=0.143:stretch=1.95:contact=0;59:err=0.146:stretch=1.95:contact=0
0,12001,hidden_strain_memory_0_12001_cloth_strip,hidden_strain_memory,0.10,cloth_strip,damage_aware_visible_mpc,pull_high,-0.42310,0.00000,0.36383,0.02250,0.83333,1,0.14644,0.42310,0.00000,1.95465,0.00000,0.01667,1.41071,0.15226,0,,,00000000,00000000,0:err=0.252:stretch=1.27:contact=0;12:err=0.175:stretch=1.95:contact=0;24:err=0.132:stretch=1.95:contact=0;36:err=0.131:stretch=1.95:contact=0;48:err=0.143:stretch=1.95:contact=0;59:err=0.146:stretch=1.95:contact=0
0,12001,hidden_strain_memory_0_12001_cloth_strip,hidden_strain_memory,0.10,cloth_strip,particle_filter_memory,pull_high,-0.42310,-0.47237,0.53031,0.02250,0.83333,1,0.14644,0.04927,0.00000,1.95465,0.00000,0.01667,1.41071,0.15226,0,,,00000000,00000000,0:err=0.252:stretch=1.27:contact=0;12:err=0.175:stretch=1.95:contact=0;24:err=0.132:stretch=1.95:contact=0;36:err=0.131:stretch=1.95:contact=0;48:err=0.143:stretch=1.95:contact=0;59:err=0.146:stretch=1.95:contact=0
0,12001,hidden_strain_memory_0_12001_cloth_strip,hidden_strain_memory,0.10,cloth_strip,safety_constrained_particle_filter,pull_high,-0.42310,-0.28300,0.40824,0.02250,0.83333,1,0.14644,0.14010,0.00000,1.95465,0.00000,0.01667,1.41071,0.15226,0,,,00000000,00000000,0:err=0.252:stretch=1.27:contact=0;12:err=0.175:stretch=1.95:contact=0;24:err=0.132:stretch=1.95:contact=0;36:err=0.131:stretch=1.95:contact=0;48:err=0.143:stretch=1.95:contact=0;59:err=0.146:stretch=1.95:contact=0
0,12001,hidden_strain_memory_0_12001_cloth_strip,hidden_strain_memory,0.10,cloth_strip,ensemble_uncertainty_planner,diagnostic_branch_pull,-0.42310,-0.47226,0.08000,0.10250,0.83333,1,0.14265,0.04916,0.00000,1.89035,0.00000,0.01667,1.15954,0.15771,1,,,00000000,00000000,0:err=0.256:stretch=1.27:contact=0;12:err=0.259:stretch=1.27:contact=0;24:err=0.202:stretch=1.89:contact=0;36:err=0.143:stretch=1.89:contact=0;48:err=0.132:stretch=1.89:contact=0;59:err=0.143:stretch=1.89:contact=0
