method,split,seeds,mean_success,ci95_success,mean_shape_error,ci95_shape_error,mean_memory_error,ci95_memory_error,mean_memory_calibration_error,ci95_memory_calibration_error,mean_mechanism_macro_f1,ci95_mechanism_macro_f1,mean_tail_risk,ci95_tail_risk,mean_damage_rate,ci95_damage_rate,mean_force_clip_rate,ci95_force_clip_rate,mean_contact_rate,ci95_contact_rate,mean_diagnostic_rate,ci95_diagnostic_rate,mean_max_stretch,ci95_max_stretch,mean_strain_energy,ci95_strain_energy
action_conditioned_memory,hard_regime,8,0.40625,0.03484,0.13996,0.00228,0.18669,0.01574,0.07173,0.01670,0.50000,0.02835,0.59375,0.03484,0.46875,0.02362,0.02083,0.00071,0.26246,0.01500,0.86384,0.01612,2.35586,0.02905,1.15072,0.01240
action_conditioned_memory_v5,hard_regime,8,0.43527,0.03558,0.14359,0.00178,0.19663,0.01606,0.05095,0.01717,0.50130,0.02423,0.56473,0.03558,0.25000,0.02883,0.02005,0.00098,0.09810,0.01545,0.00000,0.00000,2.25018,0.03267,1.09831,0.01815
damage_aware_visible_mpc,hard_regime,8,0.53795,0.04309,0.14252,0.00231,0.43644,0.00479,0.10445,0.00592,0.51562,0.02315,0.46205,0.04309,0.22768,0.02169,0.02433,0.00097,0.05294,0.01088,0.00000,0.00000,2.36020,0.02666,1.19979,0.01118
ensemble_uncertainty_planner,hard_regime,8,0.40179,0.02958,0.13971,0.00225,0.18059,0.01511,0.09809,0.01487,0.50000,0.02005,0.59821,0.02958,0.47321,0.02475,0.02080,0.00066,0.26321,0.01355,0.86830,0.01977,2.35342,0.02932,1.15026,0.01436
graph_dynamics_baseline,hard_regime,8,0.46205,0.03336,0.14285,0.00209,0.38355,0.01908,0.10815,0.00948,0.49740,0.02463,0.53795,0.03336,0.24330,0.02722,0.01961,0.00090,0.08813,0.01572,0.00000,0.00000,2.26770,0.03002,1.09570,0.01236
history_rnn_estimator,hard_regime,8,0.41518,0.02540,0.13996,0.00223,0.17838,0.01513,0.09952,0.01761,0.50000,0.02835,0.58482,0.02540,0.45982,0.01957,0.02102,0.00073,0.25677,0.01761,0.85714,0.03969,2.35290,0.03100,1.15247,0.01571
oracle_latent_state,hard_regime,8,0.86607,0.02958,0.12752,0.00215,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.13393,0.02958,0.02678,0.01479,0.01142,0.00078,0.06455,0.01412,0.00893,0.00935,2.12620,0.03024,0.95570,0.01437
particle_filter_memory,hard_regime,8,0.38616,0.02953,0.13967,0.00249,0.17838,0.01513,0.14906,0.02279,0.53906,0.01920,0.61384,0.02953,0.50446,0.02864,0.02035,0.00067,0.29081,0.02335,0.93750,0.02385,2.35046,0.02965,1.14349,0.01297
robust_cem_surrogate,hard_regime,8,0.41964,0.03102,0.14349,0.00186,0.21033,0.01673,0.05918,0.01830,0.48047,0.01984,0.58036,0.03103,0.34821,0.01871,0.02240,0.00082,0.16005,0.01465,0.49554,0.04474,2.32438,0.03584,1.17102,0.01703
safety_constrained_particle_filter,hard_regime,8,0.43973,0.03303,0.14356,0.00188,0.21018,0.01667,0.04838,0.01323,0.48177,0.01579,0.56027,0.03303,0.27455,0.02187,0.02281,0.00096,0.10060,0.01301,0.14509,0.02137,2.29864,0.03281,1.15432,0.01251
visible_state_mpc,hard_regime,8,0.53795,0.04309,0.14252,0.00231,0.43644,0.00479,0.10445,0.00592,0.51562,0.02315,0.46205,0.04309,0.22768,0.02169,0.02433,0.00097,0.05294,0.01088,0.00000,0.00000,2.36020,0.02666,1.19979,0.01118
