method,stress_level,seeds,mean_success,ci95_success,mean_shape_error,ci95_shape_error,mean_memory_error,ci95_memory_error,mean_mechanism_macro_f1,ci95_mechanism_macro_f1,mean_tail_risk,ci95_tail_risk,mean_damage_rate,ci95_damage_rate
action_conditioned_memory,0.00,7,0.30357,0.04950,0.14589,0.00115,0.17160,0.04409,0.51786,0.03500,0.69643,0.04950,0.39286,0.06390
action_conditioned_memory,0.20,7,0.28571,0.14849,0.14292,0.00293,0.16095,0.02067,0.62500,0.05346,0.71429,0.14849,0.48214,0.17265
action_conditioned_memory,0.40,7,0.37500,0.09260,0.13737,0.00329,0.17722,0.04729,0.62500,0.07561,0.62500,0.09260,0.55357,0.07286
action_conditioned_memory,0.60,7,0.41071,0.10304,0.13620,0.00270,0.23258,0.03172,0.57143,0.04950,0.58929,0.10304,0.53571,0.12780
action_conditioned_memory,0.80,7,0.35714,0.09899,0.13631,0.00241,0.23225,0.03310,0.55357,0.04950,0.64286,0.09899,0.62500,0.10693
action_conditioned_memory,1.00,7,0.32143,0.17616,0.13409,0.00373,0.31179,0.08158,0.62500,0.07561,0.67857,0.17616,0.62500,0.20004
ensemble_uncertainty_planner,0.00,7,0.35714,0.06390,0.14352,0.00223,0.18108,0.06942,0.53571,0.04518,0.64286,0.06390,0.35714,0.06390
ensemble_uncertainty_planner,0.20,7,0.35714,0.14572,0.14284,0.00211,0.17063,0.01766,0.60714,0.08332,0.64286,0.14572,0.39286,0.15521
ensemble_uncertainty_planner,0.40,7,0.42857,0.11783,0.13681,0.00231,0.18365,0.04085,0.60714,0.12457,0.57143,0.11783,0.48214,0.11251
ensemble_uncertainty_planner,0.60,7,0.46429,0.10304,0.13647,0.00258,0.22753,0.03173,0.55357,0.07286,0.53571,0.10304,0.48214,0.12457
ensemble_uncertainty_planner,0.80,7,0.39286,0.08332,0.13701,0.00226,0.18290,0.04148,0.55357,0.04950,0.60714,0.08332,0.58929,0.08808
ensemble_uncertainty_planner,1.00,7,0.37500,0.15122,0.13507,0.00357,0.28253,0.07002,0.60714,0.06390,0.62500,0.15122,0.57143,0.18410
oracle_latent_state,0.00,7,0.73214,0.06390,0.12285,0.00270,0.00000,0.00000,1.00000,0.00000,0.26786,0.06390,0.00000,0.00000
oracle_latent_state,0.20,7,0.85714,0.06390,0.12422,0.00238,0.00000,0.00000,1.00000,0.00000,0.14286,0.06390,0.00000,0.00000
oracle_latent_state,0.40,7,0.96429,0.04518,0.12590,0.00364,0.00000,0.00000,1.00000,0.00000,0.03571,0.04518,0.00000,0.00000
oracle_latent_state,0.60,7,0.87500,0.07561,0.12823,0.00329,0.00000,0.00000,1.00000,0.00000,0.12500,0.07561,0.01786,0.03500
oracle_latent_state,0.80,7,0.76786,0.08332,0.13300,0.00517,0.00000,0.00000,1.00000,0.00000,0.23214,0.08332,0.05357,0.04950
oracle_latent_state,1.00,7,0.76786,0.16416,0.13207,0.00645,0.00000,0.00000,1.00000,0.00000,0.23214,0.16416,0.08929,0.10304
particle_filter_memory,0.00,7,0.33929,0.04518,0.14347,0.00221,0.19876,0.05355,0.51786,0.03500,0.66071,0.04518,0.37500,0.05346
particle_filter_memory,0.20,7,0.33929,0.11608,0.14243,0.00310,0.18293,0.02528,0.58929,0.07000,0.66071,0.11608,0.42857,0.10500
particle_filter_memory,0.40,7,0.37500,0.07561,0.13774,0.00256,0.17910,0.03277,0.58929,0.04518,0.62500,0.07561,0.51786,0.08332
particle_filter_memory,0.60,7,0.41071,0.10304,0.13669,0.00280,0.22614,0.03301,0.57143,0.04950,0.58929,0.10304,0.51786,0.13555
particle_filter_memory,0.80,7,0.35714,0.12457,0.13749,0.00281,0.19206,0.03800,0.55357,0.04950,0.64286,0.12457,0.58929,0.10304
particle_filter_memory,1.00,7,0.35714,0.18074,0.13593,0.00347,0.28401,0.06794,0.58929,0.07000,0.64286,0.18074,0.58929,0.21857
